SIZE_0,SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_4,SHAPE_5,SHAPE_6,SHAPE_7,SHAPE_8,SHAPE_9,SHAPE_10
203.2,0.525,0.454,2.154,1.317,1.347,1.121,1.617,1.014,3.102,0.382
193.4,0.529,0.470,2.038,1.300,1.378,1.115,1.547,1.027,3.219,0.361
219.3,0.489,0.446,2.258,1.352,1.348,1.290,1.433,1.017,3.304,0.398
200.7,0.564,0.476,2.067,1.269,1.334,1.145,1.319,1.014,3.275,0.383
198.3,0.489,0.459,2.236,1.309,1.311,1.175,1.622,1.010,3.232,0.374
224.5,0.711,0.462,1.962,1.292,1.313,1.117,1.297,1.030,3.127,0.402
206.8,0.597,0.477,2.086,1.288,1.385,1.230,1.422,1.028,3.277,0.364
197.8,0.567,0.469,2.121,1.338,1.300,1.160,1.546,1.086,3.299,0.385
205.6,0.583,0.470,2.122,1.235,1.321,1.114,1.407,1.079,3.250,0.376
208.6,0.569,0.469,2.108,1.211,1.372,1.203,1.538,0.988,3.249,0.378
219.4,0.573,0.448,2.162,1.173,1.392,1.204,1.379,0.971,3.242,0.414
205.1,0.488,0.480,2.263,1.273,1.320,1.148,1.517,1.047,3.231,0.368
211.4,0.530,0.451,2.228,1.230,1.264,1.160,1.519,1.025,3.181,0.395
213.7,0.547,0.477,2.067,1.389,1.368,1.227,1.546,1.013,3.232,0.410
223.5,0.697,0.491,1.928,1.264,1.323,1.163,1.388,1.017,3.321,0.400
233.1,0.754,0.479,1.899,1.149,1.348,1.200,1.267,1.047,3.321,0.404
223.3,0.556,0.463,2.163,1.404,1.413,1.168,1.467,1.111,3.332,0.421
216.9,0.568,0.470,2.065,1.222,1.259,1.129,1.573,0.984,3.421,0.403
203.2,0.520,0.467,2.219,1.313,1.291,1.081,1.656,1.002,3.241,0.407
200.9,0.531,0.467,2.124,1.368,1.206,1.106,1.573,1.141,3.217,0.400
192.1,0.504,0.486,2.168,1.236,1.452,1.170,1.657,0.990,3.468,0.371
190.4,0.632,0.450,2.060,1.268,1.263,1.171,1.478,0.988,3.139,0.372
218.2,0.615,0.462,2.050,1.300,1.268,1.163,1.326,1.121,3.146,0.399
199.9,0.562,0.469,2.115,1.424,1.336,1.061,1.476,1.083,3.241,0.371
196.4,0.509,0.477,2.237,1.282,1.353,1.223,1.532,1.011,3.371,0.354
207.1,0.502,0.457,2.258,1.300,1.333,1.118,1.733,1.053,3.213,0.384
189.3,0.600,0.481,2.074,1.272,1.238,1.118,1.466,1.087,3.324,0.348
206.8,0.662,0.471,2.002,1.149,1.246,1.221,1.322,1.063,3.250,0.346
209.3,0.479,0.463,2.240,1.344,1.252,1.134,1.645,1.006,3.205,0.358
208.9,0.536,0.460,2.164,1.281,1.285,1.188,1.514,0.968,3.214,0.375
212.7,0.705,0.475,2.083,1.207,1.345,1.166,1.362,0.942,3.385,0.385
193.1,0.534,0.479,2.294,1.312,1.196,1.197,1.519,1.078,3.264,0.377
204.3,0.600,0.488,2.120,1.273,1.249,1.132,1.450,1.117,3.307,0.400
190.4,0.532,0.460,2.076,1.278,1.362,1.131,1.520,0.991,3.222,0.359
201.9,0.477,0.459,2.307,1.415,1.293,1.202,1.593,1.019,3.171,0.393
201.5,0.527,0.481,2.186,1.208,1.315,1.172,1.456,0.904,3.233,0.386
199.1,0.549,0.477,2.012,1.266,1.203,1.111,1.426,1.046,3.207,0.374
203.0,0.497,0.479,2.223,1.282,1.329,1.160,1.554,1.042,3.443,0.378
213.7,0.581,0.462,2.084,1.249,1.316,1.218,1.448,1.119,3.130,0.393
211.6,0.550,0.471,2.206,1.338,1.410,1.251,1.367,1.099,3.231,0.376
198.6,0.492,0.451,2.299,1.279,1.298,1.083,1.633,1.063,3.232,0.361
223.7,0.642,0.482,1.947,1.087,1.231,1.136,1.218,1.008,3.277,0.377
194.0,0.562,0.456,2.118,1.305,1.209,1.089,1.592,1.035,3.181,0.385
213.8,0.552,0.457,2.072,1.242,1.423,1.200,1.432,1.009,3.391,0.416
217.4,0.556,0.461,2.005,1.250,1.251,1.220,1.575,1.031,3.258,0.380
209.4,0.501,0.469,2.158,1.348,1.394,1.163,1.608,0.999,3.176,0.393
211.9,0.594,0.462,2.048,1.300,1.301,1.202,1.423,1.103,3.163,0.384
227.6,0.553,0.461,2.035,1.231,1.295,1.108,1.388,0.957,3.209,0.421
207.1,0.569,0.467,2.075,1.245,1.482,1.185,1.403,1.008,3.303,0.372
206.3,0.593,0.477,2.067,1.152,1.317,1.232,1.412,0.995,3.265,0.385
203.2,0.529,0.454,2.044,1.294,1.253,1.141,1.583,1.031,3.233,0.381
202.8,0.484,0.437,2.349,1.315,1.261,1.150,1.494,1.057,3.131,0.376
195.6,0.547,0.471,2.254,1.316,1.374,1.231,1.449,1.032,3.303,0.351
219.0,0.520,0.458,2.255,1.262,1.346,1.174,1.399,1.012,3.336,0.423
207.1,0.547,0.468,2.226,1.287,1.316,1.161,1.450,1.063,3.204,0.368
195.6,0.526,0.462,2.148,1.169,1.110,1.094,1.602,1.011,3.084,0.362
194.5,0.496,0.470,2.449,1.368,1.454,1.203,1.610,1.040,3.352,0.343
189.3,0.478,0.471,2.247,1.362,1.240,1.185,1.613,0.975,3.321,0.350
200.5,0.559,0.455,2.136,1.283,1.366,1.208,1.626,1.073,3.222,0.356
211.2,0.533,0.453,2.257,1.316,1.388,1.103,1.500,0.984,3.174,0.381
209.2,0.555,0.479,2.108,1.364,1.284,1.132,1.474,1.069,3.177,0.393
192.0,0.485,0.472,2.260,1.400,1.314,1.102,1.585,0.960,3.231,0.353
201.6,0.585,0.459,2.089,1.430,1.222,1.147,1.433,1.101,3.097,0.351
204.6,0.502,0.452,2.243,1.355,1.203,1.084,1.520,0.987,3.314,0.375
194.3,0.517,0.470,2.323,1.273,1.344,1.220,1.615,1.055,3.357,0.353
233.5,0.716,0.468,1.977,1.181,1.299,1.224,1.224,1.104,3.272,0.416
208.2,0.538,0.463,2.255,1.335,1.319,1.111,1.497,1.019,3.292,0.402
198.7,0.469,0.466,2.305,1.284,1.268,1.108,1.544,0.934,3.289,0.367
202.7,0.625,0.492,2.031,1.213,1.327,1.217,1.340,1.068,3.335,0.365
210.9,0.549,0.462,2.010,1.212,1.315,1.125,1.462,1.029,3.215,0.393
228.2,0.561,0.469,1.976,1.261,1.389,1.194,1.496,1.062,3.246,0.423
182.7,0.546,0.456,2.218,1.364,1.202,1.138,1.505,1.053,3.017,0.355
223.1,0.492,0.456,2.113,1.272,1.229,1.145,1.509,1.037,3.126,0.399
222.0,0.546,0.458,2.093,1.279,1.293,1.131,1.515,1.093,3.188,0.395
211.0,0.593,0.473,2.151,1.311,1.463,1.154,1.374,1.077,3.370,0.371
202.6,0.559,0.466,2.159,1.298,1.312,1.170,1.385,1.066,3.286,0.379
196.2,0.435,0.452,2.445,1.422,1.331,1.086,1.652,0.975,3.312,0.356
195.5,0.536,0.475,2.250,1.255,1.389,1.150,1.598,1.053,3.282,0.360
188.2,0.505,0.469,2.244,1.365,1.281,1.160,1.630,0.961,3.230,0.360
216.0,0.607,0.479,2.032,1.216,1.278,1.244,1.444,1.022,3.211,0.376
222.2,0.549,0.457,1.850,1.327,1.383,1.113,1.457,1.068,3.009,0.412
204.4,0.552,0.486,2.014,1.185,1.301,1.138,1.613,0.909,3.454,0.367
204.5,0.562,0.459,2.312,1.239,1.321,1.174,1.458,1.094,3.175,0.370
217.0,0.563,0.466,2.041,1.232,1.347,1.186,1.446,0.959,3.258,0.390
199.3,0.515,0.459,2.045,1.354,1.169,1.097,1.538,0.983,3.237,0.368
223.6,0.628,0.475,2.001,1.340,1.475,1.132,1.256,1.081,3.207,0.420
187.5,0.497,0.474,2.300,1.432,1.274,1.103,1.673,1.046,3.380,0.338
228.9,0.572,0.451,1.999,1.174,1.312,1.093,1.369,0.955,3.378,0.421
192.9,0.535,0.447,2.213,1.429,1.287,1.191,1.607,1.066,3.284,0.359
197.1,0.513,0.454,2.311,1.352,1.309,1.167,1.558,1.090,3.246,0.374
207.6,0.500,0.448,2.247,1.437,1.397,1.121,1.524,1.082,3.229,0.388
210.9,0.543,0.468,2.032,1.254,1.354,1.177,1.509,1.005,3.399,0.381
212.3,0.608,0.467,1.923,1.250,1.275,1.145,1.340,1.084,3.287,0.409
208.5,0.541,0.454,2.129,1.201,1.158,1.116,1.435,1.059,3.282,0.377
209.7,0.525,0.451,2.164,1.394,1.412,1.193,1.494,1.078,3.337,0.402
213.2,0.554,0.448,2.149,1.267,1.241,1.163,1.443,1.114,3.307,0.398
207.8,0.512,0.453,2.143,1.316,1.375,1.186,1.544,1.000,3.220,0.379
203.7,0.470,0.414,2.227,1.423,1.441,1.056,1.580,1.023,3.034,0.390
195.9,0.563,0.473,2.138,1.376,1.246,1.077,1.525,1.073,3.379,0.380
226.5,0.572,0.437,2.044,1.282,1.358,1.159,1.320,1.038,3.117,0.418
204.6,0.542,0.459,2.162,1.362,1.387,1.181,1.410,1.052,3.329,0.364
201.4,0.538,0.441,2.032,1.273,1.299,1.158,1.565,1.055,3.195,0.378
203.2,0.577,0.434,2.097,1.346,1.346,1.188,1.542,1.042,3.220,0.379
199.7,0.549,0.453,2.212,1.398,1.184,1.086,1.486,0.991,3.187,0.381
200.2,0.573,0.458,2.071,1.359,1.450,1.221,1.485,1.071,3.335,0.363
192.3,0.487,0.461,2.280,1.417,1.282,1.095,1.533,0.971,3.300,0.361
219.9,0.542,0.455,1.977,1.329,1.371,1.149,1.537,0.944,3.324,0.393
196.4,0.530,0.467,2.222,1.465,1.319,1.073,1.599,1.018,3.334,0.368
205.9,0.678,0.485,1.937,1.180,1.354,1.150,1.263,0.981,3.292,0.375
203.4,0.603,0.473,2.038,1.365,1.241,1.222,1.481,1.102,3.248,0.372
215.2,0.494,0.477,2.224,1.246,1.124,1.033,1.621,1.039,3.269,0.389
213.8,0.578,0.446,2.133,1.241,1.292,1.082,1.475,0.978,3.203,0.407
195.4,0.559,0.470,2.026,1.237,1.248,1.104,1.457,1.019,3.399,0.367
200.1,0.611,0.467,1.931,1.278,1.374,1.222,1.383,1.086,3.226,0.373
208.4,0.588,0.462,2.026,1.373,1.194,1.099,1.426,1.091,3.144,0.387
220.2,0.598,0.456,2.018,1.346,1.258,1.193,1.295,1.089,3.218,0.379
213.5,0.505,0.458,2.106,1.319,1.255,1.127,1.456,0.993,3.280,0.367
208.7,0.522,0.450,2.108,1.388,1.254,1.116,1.461,0.962,3.200,0.386
215.2,0.559,0.462,1.932,1.237,1.410,1.210,1.365,1.004,3.230,0.386
203.6,0.695,0.468,2.094,1.189,1.460,1.198,1.364,1.072,3.342,0.368
212.0,0.502,0.472,2.254,1.329,1.340,1.196,1.551,1.000,3.284,0.383
206.6,0.555,0.484,2.181,1.498,1.219,1.152,1.476,1.031,3.352,0.397
202.9,0.553,0.475,2.169,1.306,1.269,1.124,1.501,1.041,3.245,0.398
199.9,0.541,0.460,2.042,1.303,1.354,1.087,1.503,1.035,3.218,0.378
227.6,0.633,0.468,2.006,1.214,1.275,1.272,1.434,0.998,3.180,0.410
236.2,0.688,0.480,2.022,1.146,1.348,1.115,1.266,0.959,3.211,0.398
202.7,0.537,0.463,2.169,1.248,1.334,1.130,1.611,0.980,3.260,0.376
208.5,0.622,0.484,2.073,1.266,1.358,1.194,1.440,0.990,3.278,0.372
194.9,0.501,0.463,2.265,1.357,1.464,1.149,1.633,1.067,3.100,0.378
203.2,0.526,0.475,2.107,1.274,1.272,1.080,1.384,1.011,3.175,0.370
210.8,0.511,0.460,2.130,1.389,1.386,1.173,1.528,1.004,3.161,0.379
194.6,0.516,0.466,2.166,1.436,1.348,1.180,1.566,0.950,3.237,0.354
195.6,0.560,0.472,2.198,1.319,1.485,1.253,1.421,0.959,3.293,0.379
191.1,0.521,0.479,2.110,1.341,1.356,1.161,1.547,0.996,3.342,0.355
190.8,0.529,0.479,2.161,1.397,1.303,1.068,1.605,0.914,3.262,0.355
216.2,0.451,0.479,2.240,1.338,1.242,1.149,1.792,1.023,3.197,0.400
220.9,0.639,0.461,1.993,1.326,1.397,1.126,1.386,1.005,3.220,0.407
192.8,0.634,0.463,2.034,1.368,1.477,1.266,1.570,1.171,3.215,0.360
211.3,0.635,0.490,2.094,1.250,1.277,1.210,1.307,1.033,3.294,0.387
217.7,0.642,0.459,2.117,1.311,1.429,1.224,1.362,1.100,3.297,0.389
213.0,0.594,0.470,2.033,1.226,1.322,1.235,1.370,0.995,3.271,0.363
205.4,0.599,0.441,2.098,1.405,1.331,1.202,1.424,1.090,3.087,0.375
194.2,0.554,0.465,2.044,1.360,1.329,1.157,1.422,0.990,3.164,0.364
202.9,0.612,0.455,2.017,1.370,1.432,1.196,1.412,1.021,3.070,0.387
203.3,0.573,0.478,2.141,1.246,1.251,1.182,1.528,0.944,3.284,0.382
208.7,0.580,0.457,2.157,1.282,1.530,1.210,1.459,0.994,3.338,0.389
195.4,0.607,0.475,2.084,1.359,1.198,1.100,1.392,1.010,3.319,0.360
207.3,0.625,0.453,1.935,1.378,1.341,1.159,1.416,1.111,2.985,0.384
204.3,0.524,0.442,2.095,1.404,1.286,1.124,1.513,1.038,3.123,0.396
215.1,0.610,0.455,2.073,1.336,1.377,1.185,1.425,1.059,3.109,0.375
198.5,0.597,0.457,2.065,1.448,1.310,1.106,1.397,1.102,3.180,0.359
198.1,0.507,0.474,2.119,1.318,1.404,1.143,1.676,0.976,3.341,0.368
202.2,0.496,0.457,2.322,1.461,1.461,1.152,1.487,1.040,3.175,0.399
199.7,0.490,0.461,2.324,1.260,1.324,1.105,1.519,1.040,3.310,0.371
209.2,0.641,0.431,2.069,1.411,1.518,1.206,1.429,1.097,3.143,0.401
192.8,0.478,0.449,2.472,1.631,1.480,1.315,1.628,1.116,3.245,0.369
199.3,0.621,0.472,2.181,1.363,1.529,1.297,1.284,1.030,3.182,0.373
191.7,0.483,0.454,2.427,1.495,1.442,1.180,1.534,1.082,3.131,0.377
206.6,0.538,0.443,2.246,1.391,1.562,1.103,1.451,0.979,3.114,0.406
221.0,0.528,0.462,2.003,1.337,1.508,1.138,1.496,1.005,3.198,0.416
202.0,0.501,0.457,2.150,1.375,1.299,1.093,1.534,1.002,3.076,0.388
194.9,0.509,0.475,2.265,1.383,1.320,1.105,1.533,1.032,3.369,0.363
192.7,0.476,0.442,2.273,1.507,1.412,1.190,1.574,0.995,3.301,0.383
212.0,0.558,0.463,2.152,1.413,1.342,1.119,1.488,1.043,3.269,0.409
200.0,0.489,0.470,2.149,1.431,1.405,1.188,1.538,1.009,3.240,0.369
190.6,0.503,0.450,2.272,1.479,1.425,1.204,1.654,1.015,3.197,0.368
196.1,0.496,0.462,2.160,1.462,1.309,1.133,1.513,0.993,3.344,0.363
195.7,0.551,0.471,2.183,1.415,1.471,1.200,1.459,1.018,3.222,0.356
210.0,0.621,0.472,2.054,1.231,1.289,1.131,1.296,1.015,3.357,0.400
200.1,0.555,0.470,2.134,1.322,1.283,1.156,1.464,1.014,3.309,0.370
215.6,0.549,0.459,2.100,1.169,1.290,1.143,1.520,0.964,3.120,0.399
212.8,0.589,0.464,2.082,1.269,1.196,1.155,1.441,1.035,3.402,0.408
206.1,0.496,0.473,2.118,1.267,1.426,1.084,1.618,0.911,3.246,0.381
226.7,0.655,0.471,1.871,1.331,1.343,1.179,1.389,1.140,3.271,0.406
202.4,0.531,0.447,2.139,1.309,1.454,1.143,1.450,1.008,3.213,0.360
213.0,0.542,0.462,2.121,1.346,1.414,1.182,1.487,1.012,3.369,0.375
197.0,0.546,0.473,2.249,1.328,1.351,1.073,1.591,1.051,3.255,0.364
191.9,0.477,0.482,2.145,1.417,1.283,1.132,1.704,1.009,3.197,0.342
215.3,0.639,0.468,2.021,1.153,1.347,1.093,1.302,1.015,3.143,0.395
224.4,0.592,0.463,2.010,1.281,1.275,1.111,1.361,0.965,3.186,0.427
206.9,0.724,0.490,1.857,1.274,1.423,1.145,1.312,1.122,3.362,0.365
211.0,0.575,0.474,2.130,1.282,1.346,1.208,1.476,1.076,3.216,0.387
206.1,0.537,0.468,2.007,1.278,1.264,1.091,1.496,1.044,3.130,0.374
214.3,0.566,0.450,2.105,1.262,1.240,1.179,1.389,1.047,3.182,0.419
219.4,0.629,0.480,1.913,1.239,1.313,1.098,1.422,1.098,3.253,0.400
191.7,0.515,0.449,2.145,1.351,1.332,1.056,1.519,1.037,3.122,0.374
206.3,0.642,0.475,2.034,1.260,1.330,1.121,1.338,1.028,3.247,0.387
190.3,0.474,0.444,2.272,1.331,1.299,1.029,1.624,1.061,3.226,0.364
206.0,0.554,0.468,2.229,1.416,1.372,1.213,1.503,1.115,3.208,0.367
196.5,0.570,0.463,2.018,1.367,1.242,1.063,1.539,1.121,3.151,0.379
220.0,0.575,0.446,1.972,1.299,1.276,1.109,1.496,1.056,3.041,0.403
203.7,0.550,0.467,2.177,1.318,1.455,1.072,1.415,1.091,3.271,0.364
202.6,0.550,0.457,2.272,1.403,1.376,1.151,1.448,1.126,3.153,0.367
205.8,0.604,0.462,2.089,1.240,1.366,1.129,1.473,1.066,3.319,0.368
203.8,0.620,0.453,2.013,1.228,1.302,1.101,1.520,1.076,3.122,0.377
219.5,0.528,0.446,2.022,1.304,1.259,1.119,1.540,1.010,3.138,0.384
202.5,0.526,0.453,2.166,1.241,1.298,1.103,1.683,1.007,3.259,0.351
205.9,0.626,0.470,2.039,1.288,1.253,1.106,1.267,1.042,3.282,0.365
218.0,0.556,0.450,1.953,1.347,1.355,1.108,1.421,1.023,3.103,0.412
200.9,0.583,0.457,2.094,1.295,1.312,1.120,1.426,1.043,3.189,0.362
208.4,0.677,0.452,1.895,1.220,1.287,1.124,1.500,1.101,3.193,0.371
220.1,0.625,0.448,1.929,1.216,1.342,1.204,1.334,0.990,3.149,0.394
206.8,0.506,0.484,2.271,1.318,1.318,1.109,1.494,0.990,3.313,0.395
230.4,0.683,0.477,1.943,1.233,1.306,1.210,1.349,0.925,3.374,0.397
235.6,0.667,0.476,1.964,1.271,1.381,1.213,1.183,1.107,3.402,0.402
225.9,0.740,0.467,2.095,1.078,1.498,1.354,1.295,0.959,3.178,0.382
199.6,0.577,0.481,2.113,1.339,1.283,1.143,1.465,1.096,3.310,0.362
193.6,0.538,0.444,2.163,1.414,1.310,1.128,1.612,1.075,3.309,0.365
203.6,0.563,0.459,2.136,1.393,1.329,1.086,1.458,1.059,3.266,0.391
197.4,0.531,0.454,2.141,1.397,1.261,1.080,1.597,1.028,3.100,0.369
200.5,0.500,0.477,2.235,1.367,1.273,1.182,1.571,1.023,3.414,0.356
199.3,0.550,0.469,2.124,1.393,1.281,1.118,1.450,1.068,3.319,0.366
219.2,0.540,0.467,2.202,1.342,1.328,1.138,1.396,1.066,3.364,0.391
224.0,0.491,0.468,2.097,1.379,1.317,1.137,1.567,0.979,3.186,0.403
191.3,0.501,0.480,2.374,1.480,1.334,1.125,1.528,1.053,3.333,0.371
214.1,0.607,0.452,2.018,1.267,1.318,1.232,1.419,1.098,3.181,0.390
216.2,0.499,0.475,2.257,1.311,1.331,1.177,1.474,1.027,3.229,0.384
233.3,0.726,0.471,1.927,1.057,1.489,1.243,1.451,0.901,3.166,0.424
197.2,0.594,0.462,1.990,1.421,1.311,1.214,1.478,1.155,3.137,0.373
200.2,0.524,0.485,2.178,1.345,1.358,1.128,1.535,1.030,3.305,0.366
212.9,0.549,0.451,2.022,1.228,1.364,1.146,1.540,0.979,3.273,0.370
214.1,0.607,0.472,2.110,1.282,1.238,1.080,1.470,1.071,3.154,0.386
202.7,0.576,0.462,2.053,1.343,1.319,1.152,1.540,1.067,3.225,0.360
205.8,0.492,0.455,2.230,1.390,1.338,1.062,1.529,1.042,3.116,0.391
198.6,0.499,0.462,2.145,1.374,1.293,1.139,1.562,0.996,3.310,0.369
186.4,0.580,0.477,2.015,1.325,1.272,1.090,1.570,1.080,3.178,0.342
198.4,0.507,0.483,2.189,1.355,1.304,1.117,1.614,0.976,3.179,0.375
215.2,0.538,0.473,2.126,1.332,1.269,1.059,1.475,1.018,3.303,0.392
203.2,0.559,0.468,2.042,1.317,1.303,1.079,1.568,1.012,3.292,0.334
200.6,0.580,0.479,2.155,1.354,1.183,1.150,1.472,1.060,3.180,0.359
206.2,0.572,0.483,2.103,1.272,1.262,1.124,1.478,0.980,3.318,0.377
204.3,0.541,0.467,2.236,1.364,1.335,1.165,1.489,1.096,3.196,0.390
216.7,0.506,0.460,2.192,1.297,1.413,1.148,1.637,1.004,3.233,0.384
204.8,0.467,0.467,2.205,1.268,1.188,0.993,1.742,0.983,3.246,0.409
203.4,0.511,0.468,2.159,1.402,1.331,1.158,1.469,1.036,3.316,0.377
206.3,0.586,0.464,2.073,1.396,1.279,1.178,1.433,1.122,3.229,0.379
193.8,0.520,0.450,2.229,1.377,1.234,1.082,1.511,1.043,3.172,0.380
194.4,0.557,0.487,2.105,1.360,1.400,1.147,1.593,1.003,3.391,0.375
188.8,0.584,0.475,2.044,1.280,1.256,1.078,1.478,1.045,3.291,0.330
215.4,0.671,0.471,1.922,1.259,1.306,1.147,1.318,1.075,3.197,0.382
200.7,0.512,0.440,2.265,1.286,1.359,1.122,1.614,1.010,3.184,0.407
193.8,0.563,0.455,2.160,1.321,1.352,1.091,1.453,1.053,3.270,0.356
211.1,0.551,0.452,1.951,1.233,1.367,1.130,1.450,1.026,3.180,0.393
212.3,0.575,0.454,2.041,1.196,1.369,1.112,1.409,1.017,3.210,0.375
208.8,0.510,0.469,2.213,1.423,1.269,1.177,1.546,1.030,3.209,0.394
213.6,0.626,0.467,2.063,1.356,1.244,1.080,1.303,1.111,3.233,0.373
194.9,0.537,0.477,2.103,1.401,1.346,1.094,1.560,1.026,3.230,0.357
188.9,0.520,0.457,2.302,1.510,1.407,1.066,1.521,1.137,3.205,0.372
205.0,0.663,0.482,1.951,1.233,1.363,1.136,1.300,1.001,3.239,0.361
201.3,0.459,0.453,2.239,1.390,1.244,1.088,1.656,0.980,3.220,0.371
227.3,0.487,0.451,2.046,1.307,1.326,1.091,1.537,0.978,3.189,0.420
196.7,0.529,0.453,2.055,1.334,1.300,1.101,1.517,1.017,3.323,0.358
206.4,0.523,0.461,2.135,1.260,1.277,1.166,1.522,0.992,3.228,0.376
214.4,0.499,0.465,2.274,1.258,1.289,1.058,1.570,0.942,3.176,0.394
204.6,0.521,0.452,2.109,1.363,1.264,1.091,1.551,1.050,3.102,0.386
186.2,0.536,0.459,2.308,1.443,1.464,1.107,1.413,1.107,3.205,0.352
208.6,0.610,0.458,1.981,1.211,1.401,1.107,1.357,1.060,3.267,0.403
204.4,0.471,0.466,2.275,1.251,1.260,1.097,1.662,1.020,3.304,0.366
207.0,0.509,0.469,2.145,1.333,1.328,1.036,1.534,0.951,3.324,0.373
217.4,0.507,0.443,2.124,1.364,1.405,1.161,1.567,1.004,3.175,0.386
203.8,0.526,0.486,2.194,1.371,1.266,1.096,1.553,1.022,3.262,0.381
196.2,0.555,0.459,2.245,1.311,1.238,1.071,1.603,1.081,3.177,0.380
203.4,0.586,0.472,2.026,1.259,1.300,1.142,1.486,1.013,3.282,0.372
234.4,0.595,0.450,2.224,1.333,1.217,1.214,1.408,1.107,3.069,0.416
208.7,0.542,0.451,2.136,1.370,1.172,1.064,1.489,0.988,3.172,0.387
213.1,0.562,0.462,2.102,1.205,1.260,1.028,1.390,1.062,3.235,0.401
198.8,0.570,0.454,2.166,1.302,1.306,1.117,1.426,1.064,3.164,0.360
198.0,0.552,0.480,2.134,1.325,1.241,1.045,1.491,0.994,3.203,0.390
213.1,0.581,0.475,2.119,1.342,1.270,1.037,1.453,0.998,3.398,0.414
203.0,0.538,0.465,2.032,1.179,1.319,1.110,1.574,0.948,3.338,0.396
209.7,0.612,0.462,2.095,1.255,1.385,1.064,1.452,1.083,3.137,0.358
205.2,0.581,0.458,2.058,1.342,1.309,1.138,1.414,1.020,3.191,0.381
216.5,0.571,0.474,2.018,1.383,1.313,1.085,1.526,1.065,3.359,0.398
198.9,0.568,0.468,2.168,1.420,1.259,1.120,1.497,1.138,3.317,0.366
215.2,0.533,0.460,2.100,1.397,1.438,1.196,1.400,0.995,3.238,0.413
219.3,0.660,0.472,1.910,1.255,1.380,1.161,1.439,0.992,3.263,0.380
203.5,0.555,0.487,2.138,1.317,1.260,1.061,1.546,1.020,3.336,0.380
210.2,0.541,0.479,2.235,1.242,1.306,1.131,1.532,1.007,3.157,0.394
218.3,0.580,0.447,2.168,1.447,1.319,1.175,1.508,1.085,3.322,0.386
207.8,0.633,0.459,2.000,1.251,1.263,1.183,1.402,1.054,3.368,0.374
220.8,0.608,0.450,1.956,1.229,1.301,1.144,1.354,0.994,3.174,0.394
200.1,0.588,0.471,2.023,1.406,1.358,1.179,1.442,0.957,3.221,0.368
187.2,0.607,0.466,2.117,1.242,1.302,1.046,1.446,1.025,3.244,0.360
207.6,0.569,0.470,1.952,1.350,1.303,1.068,1.469,0.993,3.257,0.386
201.1,0.523,0.459,2.284,1.374,1.333,1.092,1.554,1.039,3.243,0.367
196.3,0.477,0.473,2.296,1.475,1.330,1.129,1.604,0.954,3.194,0.366
202.7,0.499,0.475,2.168,1.493,1.322,1.123,1.571,0.983,3.307,0.369
207.0,0.560,0.486,2.344,1.178,1.401,1.219,1.575,1.037,3.308,0.370
205.4,0.623,0.458,2.013,1.221,1.270,1.117,1.441,1.077,3.082,0.394
201.5,0.567,0.468,2.001,1.185,1.313,1.096,1.538,0.949,3.300,0.376
199.0,0.612,0.467,2.141,1.305,1.277,1.112,1.312,1.008,3.192,0.369
214.6,0.511,0.463,2.076,1.409,1.177,1.069,1.508,1.030,3.303,0.383
192.2,0.565,0.477,2.041,1.308,1.180,1.141,1.451,1.028,3.148,0.343
213.3,0.636,0.471,1.991,1.192,1.392,1.170,1.480,1.021,3.163,0.387
211.4,0.637,0.440,1.945,1.253,1.360,1.185,1.423,1.013,3.245,0.392
207.9,0.575,0.471,2.004,1.275,1.422,1.150,1.405,1.038,3.244,0.385
196.3,0.571,0.485,2.028,1.297,1.302,1.104,1.491,1.030,3.221,0.348
202.4,0.457,0.470,2.339,1.341,1.299,1.100,1.704,0.942,3.254,0.363
226.1,0.687,0.475,2.051,1.244,1.384,1.159,1.352,1.026,3.157,0.387
212.6,0.555,0.464,2.119,1.381,1.441,1.159,1.562,1.022,3.166,0.390
192.2,0.617,0.475,2.109,1.407,1.339,1.167,1.517,1.035,3.205,0.355
203.2,0.533,0.453,2.056,1.352,1.268,1.077,1.416,0.985,3.106,0.364
203.2,0.577,0.459,2.002,1.257,1.476,1.154,1.360,0.981,3.260,0.368
191.5,0.519,0.481,2.330,1.373,1.253,1.196,1.595,0.996,3.319,0.367
217.7,0.618,0.464,2.056,1.378,1.317,1.160,1.420,1.094,3.210,0.378
206.7,0.586,0.459,1.995,1.259,1.271,1.154,1.537,1.022,3.244,0.358
202.5,0.495,0.469,2.349,1.272,1.312,1.130,1.586,1.038,3.373,0.370
203.8,0.561,0.476,2.077,1.352,1.359,1.092,1.451,1.060,3.242,0.379
199.0,0.469,0.463,2.391,1.364,1.365,1.069,1.456,0.957,3.095,0.357
210.1,0.593,0.440,2.105,1.324,1.315,1.157,1.416,1.110,3.101,0.410
204.6,0.659,0.466,2.054,1.391,1.350,1.143,1.298,1.135,3.270,0.373
201.7,0.475,0.462,2.209,1.315,1.300,1.082,1.624,0.970,3.200,0.371
217.1,0.539,0.478,2.114,1.261,1.340,1.077,1.323,1.004,3.238,0.395
205.4,0.533,0.466,2.307,1.474,1.350,1.135,1.474,1.031,3.211,0.389
194.1,0.568,0.453,2.140,1.161,1.339,1.076,1.605,0.982,3.258,0.364
210.6,0.551,0.459,2.074,1.244,1.307,1.108,1.471,0.957,3.213,0.378
