SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_7,SHAPE_8,SHAPE_9
0.521,0.468,2.453,1.799,0.927,3.248
0.884,0.483,2.295,1.372,0.946,3.304
0.563,0.453,2.256,1.653,0.858,3.097
0.471,0.472,2.496,1.842,0.867,3.134
0.506,0.445,2.260,1.676,0.900,3.295
0.641,0.459,2.294,1.576,0.961,3.117
0.538,0.459,2.305,1.705,0.941,3.179
0.547,0.460,2.338,1.753,0.870,3.142
0.582,0.459,2.281,1.653,0.883,3.115
0.656,0.460,2.220,1.644,0.942,3.222
0.528,0.450,2.335,1.713,0.942,3.077
0.493,0.440,2.429,1.912,0.929,3.124
0.639,0.455,2.362,1.726,0.934,3.099
0.571,0.457,2.373,1.712,0.903,3.263
0.540,0.465,2.289,1.807,0.932,3.270
0.569,0.443,2.249,1.695,0.957,3.092
0.684,0.464,2.388,1.587,0.872,3.193
0.507,0.471,2.325,1.804,0.866,3.215
0.596,0.450,2.311,1.717,0.878,3.068
0.637,0.451,2.258,1.769,0.957,3.178
0.546,0.464,2.285,1.863,0.933,3.113
0.548,0.466,2.235,1.829,0.918,3.228
0.514,0.448,2.296,1.853,0.942,3.395
0.520,0.480,2.446,1.889,0.839,3.267
0.509,0.463,2.323,1.828,0.875,3.184
0.712,0.461,2.320,1.589,0.924,3.186
0.505,0.483,2.488,1.829,0.853,3.304
0.590,0.465,2.262,1.702,0.951,3.206
0.486,0.446,2.369,1.840,0.932,3.161
0.621,0.464,2.259,1.689,0.893,3.006
0.532,0.445,2.464,1.792,0.926,3.101
0.555,0.470,2.348,1.738,0.897,3.272
0.487,0.462,2.503,1.662,0.935,3.184
0.521,0.453,2.366,1.815,0.850,3.092
0.756,0.459,2.241,1.439,0.938,3.184
0.720,0.469,2.214,1.667,0.924,3.199
0.759,0.443,2.278,1.473,0.817,3.145
0.562,0.450,2.287,1.590,0.899,3.040
0.542,0.444,2.261,1.573,0.835,3.250
0.552,0.449,2.372,1.871,0.896,3.207
0.557,0.461,2.454,1.836,0.913,3.191
0.491,0.445,2.317,1.823,0.884,3.162
0.542,0.455,2.236,1.761,0.931,3.158
0.485,0.470,2.375,1.887,0.911,3.388
0.575,0.433,2.296,1.721,0.927,2.968
0.525,0.472,2.392,1.780,0.937,3.348
0.598,0.471,2.390,1.749,0.976,3.272
0.518,0.466,2.410,1.875,0.914,3.054
0.585,0.455,2.249,1.540,0.875,3.185
0.517,0.465,2.456,1.920,0.939,3.186
0.527,0.455,2.212,1.735,0.869,3.217
0.724,0.442,2.295,1.758,0.857,2.915
0.562,0.457,1.799,1.803,0.949,3.300
0.528,0.459,2.450,1.914,0.915,3.132
0.477,0.445,2.304,1.830,0.899,3.009
0.490,0.449,2.353,1.827,0.898,3.160
0.547,0.456,2.375,1.692,0.890,3.158
0.668,0.439,2.323,1.475,0.843,3.160
0.534,0.443,2.364,1.705,0.948,3.111
0.558,0.475,2.361,1.613,0.994,3.309
0.497,0.439,2.394,1.939,0.859,3.124
0.487,0.450,2.434,1.889,0.889,3.183
0.512,0.465,2.246,1.777,0.866,3.121
0.496,0.438,2.328,1.830,0.924,2.997
0.528,0.464,2.386,1.947,0.893,3.182
0.623,0.471,2.374,1.649,0.928,3.297
0.547,0.465,2.400,1.804,0.934,3.208
0.489,0.470,2.408,1.858,0.921,3.256
0.535,0.451,2.274,1.680,0.954,3.226
0.550,0.454,2.352,1.666,0.912,3.173
0.502,0.448,2.410,1.804,0.873,3.176
0.480,0.477,2.389,1.888,0.900,3.255
0.497,0.475,2.401,1.874,0.905,3.194
0.496,0.457,2.441,1.763,0.837,3.090
0.607,0.475,2.328,1.730,0.840,3.296
0.507,0.449,2.271,1.762,0.897,3.256
0.534,0.474,2.348,1.860,0.905,3.232
0.524,0.467,2.360,1.737,0.849,3.262
0.517,0.491,2.418,1.751,0.877,3.429
0.537,0.463,2.366,1.817,0.886,3.202
0.617,0.449,2.281,1.697,0.875,3.126
0.552,0.456,2.366,1.787,0.979,3.208
0.523,0.466,2.334,1.764,0.876,3.306
0.548,0.447,2.307,1.631,0.958,3.288
0.565,0.482,2.231,1.734,0.880,3.211
0.513,0.452,2.243,1.837,0.841,3.174
0.484,0.468,2.368,1.844,0.876,3.079
0.550,0.480,2.283,1.615,0.877,3.307
0.489,0.469,2.390,1.799,0.872,3.220
0.508,0.458,2.293,1.847,0.878,3.300
0.545,0.456,2.262,1.802,0.915,3.141
0.600,0.479,2.370,1.711,0.879,3.156
0.562,0.467,2.341,1.728,0.832,3.239
0.742,0.467,2.283,1.493,0.748,3.131
0.692,0.456,2.240,1.430,1.025,2.971
0.579,0.478,2.212,1.746,0.971,3.324
0.650,0.451,2.164,1.555,0.979,3.101
0.496,0.460,2.478,1.680,0.967,3.100
0.626,0.471,2.213,1.708,0.869,3.264
0.511,0.464,2.468,1.825,0.876,3.211
0.514,0.460,2.372,1.894,0.917,3.195
0.584,0.473,2.176,1.697,0.868,3.163
0.634,0.460,2.290,1.518,0.848,3.324
0.607,0.474,2.314,1.606,0.910,3.125
0.731,0.471,2.248,1.527,0.876,3.346
0.492,0.474,2.358,1.946,0.847,3.263
0.534,0.454,2.345,1.828,0.907,3.208
0.694,0.463,2.259,1.647,1.005,3.183
0.705,0.463,2.181,1.480,0.955,3.203
0.717,0.485,2.406,1.582,0.958,3.499
0.658,0.455,2.295,1.473,0.834,3.165
0.489,0.472,2.366,1.814,0.857,3.298
0.713,0.455,2.199,1.452,0.876,3.105
0.499,0.476,2.471,1.762,0.843,3.328
0.670,0.461,2.226,1.683,0.933,3.217
0.762,0.487,2.192,1.534,0.997,3.337
0.587,0.471,2.345,1.652,0.943,3.217
0.719,0.463,2.179,1.577,0.823,3.210
0.553,0.454,2.300,1.773,0.983,3.146
0.506,0.457,2.295,1.871,0.841,3.124
0.608,0.470,2.280,1.791,0.854,3.302
0.720,0.453,2.325,1.586,0.878,3.149
0.521,0.477,2.374,1.820,0.852,3.166
0.484,0.451,2.392,1.951,0.839,3.059
0.794,0.459,2.043,1.298,0.964,3.341
0.502,0.477,2.394,1.820,0.856,3.173
0.604,0.463,2.209,1.779,0.925,3.156
0.483,0.455,2.406,1.830,0.885,3.072
0.716,0.470,2.279,1.599,0.811,3.354
0.504,0.469,2.509,1.637,0.873,3.265
0.665,0.481,2.256,1.652,0.818,3.295
0.741,0.484,2.314,1.498,0.928,3.175
0.543,0.472,2.440,1.883,0.907,3.233
0.590,0.452,2.381,1.783,0.974,3.097
0.654,0.475,2.193,1.477,0.921,3.252
0.779,0.453,2.113,1.474,0.990,3.182
0.496,0.458,2.387,1.879,0.887,3.219
0.764,0.469,2.262,1.489,0.855,3.415
0.511,0.460,2.439,1.815,0.886,3.247
0.678,0.468,2.318,1.443,0.956,3.328
0.726,0.462,2.293,1.592,0.838,3.231
0.556,0.437,2.181,1.790,0.904,3.203
0.615,0.466,2.281,1.456,0.857,3.208
0.544,0.460,2.366,1.822,0.916,3.149
0.631,0.452,2.385,1.649,0.877,3.183
0.508,0.462,2.400,1.883,0.884,3.162
0.531,0.477,2.342,1.851,0.944,3.310
0.569,0.452,2.278,1.629,0.826,3.217
0.492,0.457,2.414,1.863,0.887,3.168
0.588,0.441,2.400,1.745,0.911,3.182
0.483,0.467,2.317,1.955,0.878,3.259
0.534,0.434,2.243,1.682,0.929,3.083
0.829,0.453,2.146,1.437,0.958,3.218
0.545,0.487,2.489,1.876,0.886,3.293
0.457,0.456,2.409,1.998,0.841,3.032
0.474,0.469,2.525,1.741,0.877,3.314
0.589,0.452,2.365,1.604,0.958,3.155
0.654,0.463,2.388,1.636,0.971,3.219
0.490,0.469,2.286,1.794,0.891,3.174
0.690,0.455,2.207,1.421,0.927,3.189
0.641,0.442,2.323,1.601,0.910,3.096
0.673,0.448,2.308,1.477,0.838,3.210
0.547,0.461,2.354,1.812,0.962,3.169
0.694,0.456,2.205,1.507,0.929,3.259
0.607,0.464,2.244,1.792,0.902,3.213
0.475,0.451,2.315,1.789,0.883,3.140
0.584,0.480,2.355,1.733,0.898,3.254
0.561,0.471,2.287,1.726,0.821,3.252
0.520,0.472,2.476,1.797,0.892,3.320
0.502,0.461,2.502,1.760,0.958,3.212
0.561,0.464,2.259,1.731,0.909,3.231
0.714,0.483,2.047,1.430,0.999,3.324
0.567,0.439,2.309,1.703,0.930,3.284
0.580,0.449,2.281,1.694,0.959,3.199
0.502,0.474,2.344,1.779,0.884,3.267
0.584,0.430,2.315,1.719,0.988,3.047
0.583,0.436,2.367,1.758,0.934,3.091
0.520,0.449,2.305,1.743,0.876,3.290
0.615,0.459,2.380,1.604,0.946,3.257
0.744,0.453,2.231,1.461,0.993,3.200
0.560,0.456,2.363,1.741,0.956,3.134
0.701,0.448,2.282,1.571,0.916,3.303
0.772,0.450,2.261,1.397,0.996,3.135
0.501,0.459,2.334,1.900,0.958,3.102
0.646,0.480,2.266,1.617,0.915,3.303
0.634,0.463,2.356,1.643,0.945,3.124
0.635,0.450,2.246,1.603,0.933,3.082
0.703,0.448,2.195,1.683,0.924,3.339
0.512,0.461,2.314,1.704,0.916,3.168
0.635,0.479,2.278,1.655,0.918,3.329
0.781,0.476,2.092,1.338,0.876,3.328
0.508,0.467,2.406,1.823,0.913,3.127
0.591,0.459,2.352,1.689,0.909,3.156
0.503,0.479,2.340,1.725,0.910,3.308
0.883,0.464,2.119,1.239,0.885,3.234
0.526,0.492,2.471,1.769,0.918,3.177
0.561,0.462,2.470,1.647,0.861,3.299
0.574,0.470,2.446,1.795,0.825,3.203
0.761,0.456,2.241,1.428,0.849,3.192
0.531,0.460,2.254,1.768,0.967,3.162
0.517,0.471,2.330,1.812,0.831,3.083
0.461,0.449,2.465,1.950,0.909,3.181
0.504,0.438,2.311,1.733,0.862,2.963
0.584,0.432,2.179,1.540,0.907,3.165
0.558,0.465,2.226,1.779,0.864,3.189
0.685,0.472,2.238,1.754,0.996,3.200
0.500,0.464,2.378,1.792,0.920,3.236
0.517,0.461,2.382,1.702,0.891,3.172
0.485,0.470,2.521,1.834,0.911,3.271
0.531,0.440,2.325,1.811,0.883,3.153
0.682,0.452,2.380,1.602,0.900,3.101
0.855,0.456,2.253,1.151,0.855,3.227
0.618,0.457,2.418,1.620,0.953,3.172
0.560,0.483,2.229,1.811,0.946,3.174
0.645,0.458,2.169,1.446,0.977,3.091
0.635,0.457,2.252,1.537,0.886,3.154
0.822,0.465,2.218,1.448,0.934,3.271
0.544,0.457,2.460,1.818,0.947,3.105
0.548,0.459,2.429,1.700,0.885,3.293
0.503,0.463,2.615,2.000,0.929,3.260
0.659,0.458,2.161,1.510,0.987,3.099
0.514,0.461,2.555,1.682,0.958,3.217
0.581,0.482,2.287,1.686,0.820,3.305
0.491,0.471,2.353,1.881,0.959,3.148
0.701,0.455,2.325,1.561,0.829,3.249
0.583,0.457,2.305,1.763,0.952,2.968
0.482,0.471,2.386,1.873,0.943,3.172
0.609,0.473,2.287,1.625,0.835,3.118
0.611,0.451,2.277,1.550,0.932,3.152
0.657,0.468,2.120,1.468,0.942,3.242
0.609,0.454,2.353,1.615,0.972,3.226
0.504,0.480,2.535,1.855,0.903,3.312
0.523,0.479,2.429,1.857,0.925,3.261
0.725,0.459,2.192,1.463,0.976,3.097
0.498,0.467,2.407,1.693,0.931,3.204
0.537,0.465,2.426,1.848,0.964,3.165
0.545,0.454,2.400,1.642,0.904,3.073
0.749,0.483,2.305,1.562,0.830,3.272
0.547,0.465,2.360,1.750,1.001,3.197
0.536,0.461,2.340,1.817,0.904,3.205
0.556,0.477,2.347,1.812,0.971,3.112
0.596,0.461,2.458,1.865,0.977,3.226
0.572,0.466,2.375,1.780,0.899,3.230
0.594,0.449,2.289,1.800,0.914,3.242
0.516,0.473,2.441,1.821,0.931,3.234
0.614,0.481,2.373,1.661,0.959,3.265
0.517,0.459,2.332,1.866,0.883,3.321
0.568,0.487,2.221,1.715,0.885,3.343
0.496,0.475,2.397,1.861,0.910,3.390
0.500,0.458,2.347,1.765,0.917,3.232
0.625,0.454,2.274,1.598,0.854,3.211
0.550,0.459,2.398,1.721,0.896,3.140
0.532,0.467,2.312,1.681,0.907,3.283
0.544,0.459,2.344,1.728,0.916,3.176
0.585,0.473,2.480,1.743,0.937,3.399
0.551,0.470,2.401,1.761,0.915,2.967
0.560,0.481,2.390,1.721,0.973,3.231
0.611,0.453,2.249,1.563,1.002,3.085
0.566,0.476,2.316,1.778,0.944,3.223
0.688,0.470,2.195,1.462,1.015,3.309
0.693,0.479,2.374,1.459,1.004,3.171
0.623,0.451,2.186,1.499,0.873,3.178
0.527,0.456,2.396,1.875,0.903,3.196
0.506,0.476,2.372,1.802,0.834,3.144
0.548,0.454,2.435,1.727,0.936,3.267
0.596,0.434,2.417,1.635,1.017,3.087
0.482,0.443,2.284,1.919,0.923,3.180
0.493,0.459,2.222,1.886,0.945,3.218
0.495,0.472,2.355,1.912,0.944,3.209
0.479,0.443,2.252,1.888,0.844,3.204
0.627,0.455,2.311,1.581,0.935,3.174
0.540,0.437,2.302,1.774,0.907,3.130
0.539,0.483,2.471,1.776,0.974,3.215
0.638,0.467,2.368,1.613,0.966,3.355
0.557,0.466,2.337,1.792,0.860,3.208
0.549,0.476,2.404,1.822,0.897,3.169
0.530,0.464,2.336,1.801,0.899,3.327
0.481,0.465,2.458,1.893,0.914,3.194
0.513,0.480,2.429,1.853,0.933,3.423
0.606,0.470,2.267,1.609,0.894,3.262
0.562,0.463,2.301,1.616,0.891,3.067
0.507,0.458,2.444,1.934,0.988,3.099
0.505,0.474,2.363,1.740,0.914,3.261
0.692,0.457,2.264,1.617,0.927,3.267
0.519,0.453,2.405,1.817,0.961,3.293
0.510,0.457,2.372,1.652,0.968,3.188
0.862,0.474,2.030,1.293,0.906,3.237
0.563,0.450,2.321,1.673,0.930,3.183
0.780,0.461,2.248,1.593,0.864,3.347
0.594,0.461,2.263,1.631,0.879,3.302
0.526,0.458,2.468,1.829,0.965,3.235
0.556,0.472,2.430,1.753,0.866,3.279
0.628,0.477,2.298,1.694,0.860,3.521
0.576,0.475,2.371,1.774,0.900,3.326
0.580,0.440,2.327,1.782,0.891,3.110
0.662,0.452,2.371,1.732,0.949,3.195
0.516,0.453,2.417,1.740,0.879,3.120
0.554,0.469,2.281,1.875,0.936,3.167
0.596,0.445,2.252,1.723,0.902,3.109
0.531,0.462,2.469,1.784,0.959,3.224
0.580,0.471,2.376,1.719,0.917,3.267
0.524,0.440,2.240,1.782,0.857,3.008
0.559,0.456,2.403,1.907,0.915,3.127
0.514,0.448,2.513,1.904,0.934,3.068
0.565,0.468,2.301,1.706,0.901,3.353
0.537,0.476,2.233,1.743,0.894,3.230
0.513,0.464,2.527,1.844,0.886,3.184
0.594,0.469,2.365,1.771,0.886,3.227
0.538,0.445,2.349,1.839,0.940,3.176
0.537,0.463,2.354,1.690,0.913,3.170
0.509,0.453,2.303,1.722,0.910,3.080
0.543,0.464,2.252,1.777,0.896,3.291
0.588,0.467,2.461,1.710,0.916,3.206
0.697,0.443,2.276,1.461,0.844,3.245
0.592,0.460,2.346,1.825,0.834,3.272
0.520,0.464,2.317,1.747,0.842,3.251
0.501,0.454,2.456,1.885,0.956,3.092
0.664,0.459,2.216,1.537,0.997,3.070
0.556,0.457,2.305,1.827,0.976,3.212
0.517,0.461,2.414,1.828,0.934,3.252
0.520,0.461,2.345,1.733,0.923,3.151
0.576,0.467,2.229,1.608,0.918,3.150
0.614,0.456,2.324,1.741,0.865,3.089
0.639,0.453,2.116,1.417,1.093,3.039
0.732,0.465,2.233,1.599,0.863,3.284
0.632,0.443,2.236,1.661,0.932,3.091
0.555,0.441,2.273,1.729,0.950,3.164
0.552,0.473,2.323,1.881,0.905,3.276
0.519,0.482,2.518,1.802,0.942,3.247
0.897,0.445,2.082,1.390,0.835,3.354
0.604,0.457,2.207,1.717,0.903,3.158
0.490,0.445,2.237,1.748,0.890,3.108
0.644,0.452,2.272,1.682,0.892,3.077
0.536,0.458,2.302,1.817,0.886,3.096
0.617,0.456,2.234,1.490,0.933,3.208
0.587,0.458,2.410,1.666,0.939,3.129
0.765,0.449,2.261,1.462,0.985,3.291
0.510,0.453,2.394,1.784,0.933,3.275
0.892,0.469,2.133,1.318,0.993,3.287
0.590,0.468,2.280,1.721,0.864,3.261
0.495,0.457,2.312,1.806,0.960,3.078
0.514,0.486,2.237,1.756,0.886,3.300
0.754,0.465,2.295,1.576,0.950,3.112
0.631,0.460,2.282,1.771,0.938,3.239
0.530,0.469,2.316,1.822,0.876,3.190
0.557,0.478,2.186,1.765,0.921,3.189
0.540,0.466,2.339,1.753,0.953,3.220
0.519,0.473,2.280,1.755,0.944,3.158
0.643,0.467,2.306,1.710,0.898,3.174
0.539,0.460,2.361,1.667,0.941,3.242
0.524,0.472,2.373,1.864,0.913,3.309
0.525,0.460,2.332,1.771,0.863,3.205
0.535,0.445,2.397,1.880,0.939,3.085
0.734,0.487,2.048,1.440,0.981,3.378
0.530,0.467,2.347,1.766,0.906,3.292
0.458,0.457,2.265,1.949,0.850,3.068
0.526,0.447,2.210,1.711,0.969,3.191
0.540,0.455,2.295,1.775,0.883,3.217
0.541,0.447,2.334,1.712,0.940,3.145
0.558,0.469,2.374,1.676,0.919,3.119
0.535,0.462,2.317,1.819,0.917,3.212
0.568,0.445,2.296,1.837,0.948,3.216
0.493,0.445,2.372,1.895,0.940,3.157
0.544,0.456,2.332,1.779,0.971,3.299
0.612,0.435,2.360,1.508,0.982,3.216
0.585,0.454,2.375,1.642,0.859,3.282
0.571,0.453,2.345,1.754,0.918,3.190
0.536,0.454,2.325,1.775,0.972,3.168
0.599,0.463,2.241,1.600,0.972,3.180
0.536,0.470,2.288,1.764,0.942,3.214
0.606,0.443,2.284,1.569,0.931,2.991
0.547,0.458,2.347,1.812,0.924,3.229
0.496,0.476,2.294,1.796,0.888,3.192
0.556,0.495,2.335,1.778,0.928,3.341
0.519,0.499,2.308,1.812,0.947,3.349
0.503,0.463,2.253,1.803,0.901,3.175
0.484,0.461,2.426,2.034,0.900,3.184
0.851,0.455,2.113,1.337,0.889,3.075
0.542,0.477,2.316,1.788,0.914,3.255
0.574,0.474,2.430,1.811,0.977,3.251
0.499,0.468,2.366,1.970,0.906,3.099
0.529,0.440,2.416,1.930,0.881,3.093
0.645,0.420,2.182,1.765,0.931,2.988
0.451,0.454,2.488,1.860,0.884,3.054
0.492,0.487,2.202,1.828,0.890,3.176
0.668,0.454,2.370,1.589,0.947,3.124
0.563,0.452,2.242,1.938,0.858,3.226
0.620,0.460,2.195,1.838,0.882,3.176
0.539,0.486,2.320,1.734,0.917,3.377
0.731,0.482,2.177,1.560,0.916,3.264
0.497,0.498,2.333,1.900,0.878,3.463
0.534,0.470,2.267,1.841,0.938,3.082
0.594,0.473,2.413,1.748,0.942,3.353
0.496,0.451,2.487,1.760,0.854,3.157
0.555,0.467,2.265,1.737,0.905,3.201
0.519,0.468,2.500,1.848,0.928,3.266
0.586,0.490,2.265,1.769,0.928,3.313
0.493,0.460,2.300,1.643,0.876,3.161
0.524,0.460,2.268,1.874,0.884,3.220
0.583,0.470,2.078,1.927,0.929,3.129
0.628,0.483,2.144,1.626,0.935,3.136
0.619,0.461,2.291,1.725,0.949,3.100
0.580,0.476,2.098,1.696,0.938,3.211
0.484,0.464,2.281,1.825,0.951,3.145
0.619,0.481,2.209,1.673,0.947,3.114
0.513,0.444,2.315,1.904,0.834,3.068
0.510,0.476,2.372,1.975,0.867,3.165
0.634,0.474,2.198,1.717,0.944,3.172
0.792,0.467,2.116,1.367,0.941,3.309
0.473,0.457,2.290,1.867,0.909,3.255
0.498,0.475,2.367,1.768,0.875,3.308
0.589,0.467,2.284,1.684,0.993,3.217
0.523,0.464,2.286,1.905,0.915,3.061
0.525,0.471,2.331,1.811,0.908,3.433
0.533,0.493,2.267,1.742,0.824,3.274
0.637,0.466,2.128,1.603,0.908,3.239
0.624,0.482,2.262,1.575,0.915,3.237
0.658,0.466,2.220,1.524,0.997,3.128
0.659,0.474,2.264,1.679,0.922,3.231
0.539,0.468,2.345,1.913,0.903,3.205
0.629,0.451,2.267,1.589,0.932,3.149
0.885,0.459,2.197,1.300,0.866,3.012
0.533,0.488,2.332,1.933,0.846,3.330
0.529,0.468,2.222,1.680,0.886,3.247
0.604,0.462,2.236,1.547,0.875,3.150
0.459,0.462,2.605,1.866,0.992,3.342
0.596,0.465,2.157,1.626,0.955,3.333
0.549,0.444,2.351,2.052,0.889,3.010
0.516,0.486,2.213,1.853,0.861,3.230
0.823,0.490,2.304,1.291,0.952,3.405
0.562,0.471,2.297,1.680,0.876,3.276
0.507,0.471,2.266,1.813,0.890,3.257
0.501,0.473,2.249,1.805,0.872,3.183
0.585,0.473,2.311,1.754,0.838,3.137
0.624,0.453,2.099,1.661,0.954,3.150
0.604,0.457,2.274,1.680,0.931,3.020
0.485,0.450,2.352,1.931,0.917,3.127
0.552,0.434,2.309,1.679,0.879,3.106
0.504,0.458,2.480,1.901,0.921,3.311
0.598,0.443,2.299,1.794,0.906,3.289
0.586,0.465,2.330,1.649,0.862,3.188
0.544,0.448,2.325,1.928,0.869,2.992
0.521,0.426,2.407,1.906,0.945,2.979
0.572,0.462,2.456,1.778,0.953,3.328
0.631,0.455,2.245,1.715,1.017,3.166
0.517,0.471,2.519,2.040,0.891,3.359
0.595,0.443,2.306,1.755,0.882,3.235
0.523,0.445,2.324,1.732,0.909,3.258
0.726,0.434,2.248,1.633,0.865,3.134
0.446,0.457,2.419,2.002,0.902,3.281
0.668,0.435,2.216,1.685,0.998,3.187
0.529,0.467,2.331,1.686,0.885,3.332
0.711,0.444,2.166,1.620,1.061,3.017
0.522,0.444,2.274,1.876,0.874,3.001
0.678,0.471,2.262,1.531,1.030,3.380
0.834,0.438,2.082,1.396,0.969,3.125
0.659,0.451,2.084,1.639,0.935,3.121
0.554,0.429,2.374,1.778,0.822,3.114
0.601,0.434,2.255,1.685,0.880,2.852
0.565,0.452,2.285,1.807,0.924,3.177
0.872,0.456,2.161,1.375,0.844,3.243
0.501,0.432,2.471,1.836,0.961,3.144
0.611,0.429,2.272,1.703,0.857,3.071
0.497,0.451,2.327,1.678,0.837,3.089
0.648,0.419,2.183,1.650,0.877,3.064
0.561,0.435,2.238,1.865,0.931,3.167
0.552,0.454,2.162,1.892,0.865,3.171
0.614,0.460,2.268,1.923,0.828,3.046
0.853,0.427,2.019,1.562,0.920,3.134
0.466,0.436,2.418,1.958,0.864,3.101
0.499,0.424,2.276,1.927,0.868,3.033
0.574,0.437,2.343,1.804,0.876,3.073
0.496,0.447,2.457,1.862,0.918,3.214
0.627,0.432,2.295,1.702,0.867,2.995
0.729,0.432,2.244,1.639,0.812,3.041
0.603,0.461,2.156,1.608,0.917,3.404
0.686,0.445,2.245,1.533,0.898,3.096
0.580,0.445,2.251,1.804,0.896,3.057
0.711,0.428,2.215,1.734,0.873,3.027
0.638,0.450,2.287,1.654,1.006,3.045
0.619,0.445,2.283,1.515,0.958,3.073
0.566,0.438,2.248,1.872,0.901,3.009
0.752,0.432,2.218,1.546,0.909,3.191
0.498,0.455,2.431,1.956,0.916,3.246
0.648,0.442,2.290,1.745,0.853,2.991
0.552,0.426,2.261,1.601,0.882,3.064
0.538,0.441,2.248,1.808,0.837,3.155
0.557,0.441,2.313,1.630,0.927,3.150
0.515,0.448,2.439,1.854,0.878,3.071
0.607,0.451,2.322,1.852,0.916,3.118
0.685,0.433,2.097,1.569,0.901,3.041
0.529,0.468,2.403,1.940,0.966,3.268
0.515,0.474,2.592,1.823,0.941,3.305
0.490,0.460,2.461,1.894,0.903,3.346
0.553,0.461,2.350,1.859,0.839,3.092
0.556,0.470,2.253,1.842,0.882,3.225
0.694,0.453,2.170,1.543,0.900,3.018
0.508,0.445,2.238,1.775,0.903,2.985
0.545,0.450,2.319,1.698,0.885,3.026
0.539,0.459,2.276,1.773,0.810,3.398
0.530,0.468,2.435,1.695,0.876,3.256
0.575,0.452,2.163,1.772,0.902,3.347
0.578,0.448,2.302,1.803,0.874,3.140
0.663,0.438,2.307,1.619,0.981,3.364
0.628,0.453,2.178,1.651,0.941,3.131
0.478,0.456,2.454,1.899,0.888,3.119
0.563,0.452,2.270,2.073,0.901,3.098
0.742,0.454,2.231,1.389,0.912,3.304
0.540,0.446,2.295,1.960,0.822,3.098
0.626,0.471,2.314,1.728,0.901,3.291
0.530,0.434,2.356,1.846,0.922,2.986
0.508,0.439,2.304,1.750,0.814,3.238
0.534,0.434,2.358,1.938,0.900,2.952
0.509,0.434,2.321,2.092,0.807,2.971
0.590,0.459,2.262,1.846,0.857,3.303
0.510,0.433,2.231,1.986,0.892,2.966
0.488,0.452,2.401,2.024,0.856,3.188
0.489,0.467,2.379,1.851,0.840,3.261
0.668,0.443,2.268,1.612,0.921,3.129
0.605,0.444,2.370,1.745,0.857,3.165
0.543,0.439,2.213,1.731,0.927,3.189
0.562,0.453,2.182,1.969,0.810,3.070
0.677,0.436,2.286,1.751,0.927,3.085
0.524,0.440,2.252,1.850,0.913,3.179
0.699,0.461,2.235,1.471,0.864,3.252
0.537,0.461,2.235,1.747,0.901,3.242
0.515,0.439,2.259,1.669,0.826,3.168
0.602,0.440,2.309,1.823,0.859,3.216
0.569,0.443,2.212,1.555,0.981,3.067
0.522,0.440,2.339,1.956,0.890,3.123
0.717,0.471,2.236,1.680,0.862,3.179
0.518,0.461,2.395,1.863,0.865,3.275
0.699,0.440,2.236,1.496,0.921,3.170
0.808,0.439,2.168,1.590,0.914,3.065
0.768,0.437,2.240,1.683,0.935,3.060
0.728,0.446,2.321,1.553,0.924,3.229
0.484,0.458,2.347,2.067,0.896,3.266
0.574,0.447,2.458,1.800,0.902,3.264
0.670,0.445,2.292,1.558,0.910,3.194
0.580,0.430,2.294,1.908,0.862,3.192
0.472,0.448,2.570,1.997,0.947,3.198
0.507,0.450,2.286,1.935,0.893,3.444
0.485,0.464,2.352,2.095,0.872,3.167
0.488,0.430,2.473,1.971,0.948,3.317
0.815,0.472,2.101,1.273,0.972,3.434
0.590,0.456,2.262,1.978,0.880,3.044
0.762,0.454,2.175,1.652,0.970,3.102
0.466,0.459,2.362,2.201,0.865,3.235
0.517,0.432,2.364,2.102,0.900,3.084
0.619,0.456,2.324,1.556,0.914,3.159
0.473,0.449,2.371,1.903,0.941,3.209
0.520,0.446,2.143,1.735,0.877,3.289
0.539,0.454,2.446,1.951,0.925,3.228
0.761,0.452,2.245,1.473,1.013,3.268
0.628,0.453,2.159,1.982,0.870,3.117
0.556,0.442,2.331,1.873,0.942,3.167
0.472,0.442,2.428,1.829,0.865,3.165
0.612,0.452,2.214,1.832,0.956,3.287
0.572,0.440,2.348,1.735,0.954,3.292
0.473,0.449,2.331,1.769,0.945,3.224
0.486,0.433,2.304,1.983,0.890,3.386
0.531,0.441,2.235,1.734,0.913,3.270
0.505,0.465,2.351,1.851,0.856,3.132
0.472,0.459,2.341,1.897,0.949,3.041
0.533,0.449,2.357,1.807,0.929,3.147
0.543,0.436,2.417,1.747,0.951,3.064
0.488,0.445,2.265,1.805,0.962,3.003
0.503,0.440,2.446,1.727,0.921,3.035
0.532,0.453,2.413,1.754,0.931,3.200
0.492,0.445,2.365,1.715,0.974,3.056
0.517,0.463,2.485,1.937,0.983,3.234
0.491,0.417,2.650,1.913,0.948,3.186
0.493,0.460,2.436,1.774,1.055,3.236
0.497,0.453,2.336,1.779,0.949,3.275
0.487,0.439,2.419,1.870,1.018,3.093
0.483,0.445,2.379,1.732,0.939,3.110
0.559,0.458,2.355,1.926,0.940,3.109
0.534,0.430,2.269,1.805,0.970,3.016
0.530,0.468,2.500,1.904,1.039,3.146
0.544,0.454,2.342,1.685,0.920,3.248
0.502,0.443,2.536,1.897,0.949,3.291
