SIZE_0,SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_4,SHAPE_7,SHAPE_9
206.1,0.537,0.468,2.007,1.278,1.496,3.130
214.3,0.566,0.450,2.105,1.262,1.389,3.182
219.4,0.629,0.480,1.913,1.239,1.422,3.253
191.7,0.515,0.449,2.145,1.351,1.519,3.122
206.3,0.642,0.475,2.034,1.260,1.338,3.247
190.3,0.474,0.444,2.272,1.331,1.624,3.226
206.0,0.554,0.468,2.229,1.416,1.503,3.208
196.5,0.570,0.463,2.018,1.367,1.539,3.151
220.0,0.575,0.446,1.972,1.299,1.496,3.041
203.7,0.550,0.467,2.177,1.318,1.415,3.271
202.6,0.550,0.457,2.272,1.403,1.448,3.153
205.8,0.604,0.462,2.089,1.240,1.473,3.319
203.8,0.620,0.453,2.013,1.228,1.520,3.122
219.5,0.528,0.446,2.022,1.304,1.540,3.138
202.5,0.526,0.453,2.166,1.241,1.683,3.259
205.9,0.626,0.470,2.039,1.288,1.267,3.282
218.0,0.556,0.450,1.953,1.347,1.421,3.103
200.9,0.583,0.457,2.094,1.295,1.426,3.189
208.4,0.677,0.452,1.895,1.220,1.500,3.193
220.1,0.625,0.448,1.929,1.216,1.334,3.149
206.8,0.506,0.484,2.271,1.318,1.494,3.313
230.4,0.683,0.477,1.943,1.233,1.349,3.374
235.6,0.667,0.476,1.964,1.271,1.183,3.402
225.9,0.740,0.467,2.095,1.078,1.295,3.178
199.6,0.577,0.481,2.113,1.339,1.465,3.310
193.6,0.538,0.444,2.163,1.414,1.612,3.309
203.6,0.563,0.459,2.136,1.393,1.458,3.266
197.4,0.531,0.454,2.141,1.397,1.597,3.100
200.5,0.500,0.477,2.235,1.367,1.571,3.414
199.3,0.550,0.469,2.124,1.393,1.450,3.319
219.2,0.540,0.467,2.202,1.342,1.396,3.364
224.0,0.491,0.468,2.097,1.379,1.567,3.186
191.3,0.501,0.480,2.374,1.480,1.528,3.333
214.1,0.607,0.452,2.018,1.267,1.419,3.181
216.2,0.499,0.475,2.257,1.311,1.474,3.229
233.3,0.726,0.471,1.927,1.057,1.451,3.166
197.2,0.594,0.462,1.990,1.421,1.478,3.137
200.2,0.524,0.485,2.178,1.345,1.535,3.305
212.9,0.549,0.451,2.022,1.228,1.540,3.273
214.1,0.607,0.472,2.110,1.282,1.470,3.154
202.7,0.576,0.462,2.053,1.343,1.540,3.225
205.8,0.492,0.455,2.230,1.390,1.529,3.116
198.6,0.499,0.462,2.145,1.374,1.562,3.310
186.4,0.580,0.477,2.015,1.325,1.570,3.178
198.4,0.507,0.483,2.189,1.355,1.614,3.179
215.2,0.538,0.473,2.126,1.332,1.475,3.303
203.2,0.559,0.468,2.042,1.317,1.568,3.292
200.6,0.580,0.479,2.155,1.354,1.472,3.180
206.2,0.572,0.483,2.103,1.272,1.478,3.318
204.3,0.541,0.467,2.236,1.364,1.489,3.196
216.7,0.506,0.460,2.192,1.297,1.637,3.233
204.8,0.467,0.467,2.205,1.268,1.742,3.246
203.4,0.511,0.468,2.159,1.402,1.469,3.316
206.3,0.586,0.464,2.073,1.396,1.433,3.229
193.8,0.520,0.450,2.229,1.377,1.511,3.172
194.4,0.557,0.487,2.105,1.360,1.593,3.391
188.8,0.584,0.475,2.044,1.280,1.478,3.291
215.4,0.671,0.471,1.922,1.259,1.318,3.197
200.7,0.512,0.440,2.265,1.286,1.614,3.184
193.8,0.563,0.455,2.160,1.321,1.453,3.270
211.1,0.551,0.452,1.951,1.233,1.450,3.180
212.3,0.575,0.454,2.041,1.196,1.409,3.210
208.8,0.510,0.469,2.213,1.423,1.546,3.209
213.6,0.626,0.467,2.063,1.356,1.303,3.233
194.9,0.537,0.477,2.103,1.401,1.560,3.230
188.9,0.520,0.457,2.302,1.510,1.521,3.205
205.0,0.663,0.482,1.951,1.233,1.300,3.239
201.3,0.459,0.453,2.239,1.390,1.656,3.220
227.3,0.487,0.451,2.046,1.307,1.537,3.189
196.7,0.529,0.453,2.055,1.334,1.517,3.323
206.4,0.523,0.461,2.135,1.260,1.522,3.228
214.4,0.499,0.465,2.274,1.258,1.570,3.176
204.6,0.521,0.452,2.109,1.363,1.551,3.102
186.2,0.536,0.459,2.308,1.443,1.413,3.205
208.6,0.610,0.458,1.981,1.211,1.357,3.267
204.4,0.471,0.466,2.275,1.251,1.662,3.304
207.0,0.509,0.469,2.145,1.333,1.534,3.324
217.4,0.507,0.443,2.124,1.364,1.567,3.175
203.8,0.526,0.486,2.194,1.371,1.553,3.262
196.2,0.555,0.459,2.245,1.311,1.603,3.177
203.4,0.586,0.472,2.026,1.259,1.486,3.282
234.4,0.595,0.450,2.224,1.333,1.408,3.069
208.7,0.542,0.451,2.136,1.370,1.489,3.172
213.1,0.562,0.462,2.102,1.205,1.390,3.235
198.8,0.570,0.454,2.166,1.302,1.426,3.164
198.0,0.552,0.480,2.134,1.325,1.491,3.203
213.1,0.581,0.475,2.119,1.342,1.453,3.398
203.0,0.538,0.465,2.032,1.179,1.574,3.338
209.7,0.612,0.462,2.095,1.255,1.452,3.137
205.2,0.581,0.458,2.058,1.342,1.414,3.191
216.5,0.571,0.474,2.018,1.383,1.526,3.359
198.9,0.568,0.468,2.168,1.420,1.497,3.317
215.2,0.533,0.460,2.100,1.397,1.400,3.238
219.3,0.660,0.472,1.910,1.255,1.439,3.263
203.5,0.555,0.487,2.138,1.317,1.546,3.336
210.2,0.541,0.479,2.235,1.242,1.532,3.157
218.3,0.580,0.447,2.168,1.447,1.508,3.322
207.8,0.633,0.459,2.000,1.251,1.402,3.368
220.8,0.608,0.450,1.956,1.229,1.354,3.174
200.1,0.588,0.471,2.023,1.406,1.442,3.221
187.2,0.607,0.466,2.117,1.242,1.446,3.244
207.6,0.569,0.470,1.952,1.350,1.469,3.257
201.1,0.523,0.459,2.284,1.374,1.554,3.243
196.3,0.477,0.473,2.296,1.475,1.604,3.194
202.7,0.499,0.475,2.168,1.493,1.571,3.307
207.0,0.560,0.486,2.344,1.178,1.575,3.308
205.4,0.623,0.458,2.013,1.221,1.441,3.082
201.5,0.567,0.468,2.001,1.185,1.538,3.300
199.0,0.612,0.467,2.141,1.305,1.312,3.192
214.6,0.511,0.463,2.076,1.409,1.508,3.303
192.2,0.565,0.477,2.041,1.308,1.451,3.148
213.3,0.636,0.471,1.991,1.192,1.480,3.163
211.4,0.637,0.440,1.945,1.253,1.423,3.245
207.9,0.575,0.471,2.004,1.275,1.405,3.244
196.3,0.571,0.485,2.028,1.297,1.491,3.221
202.4,0.457,0.470,2.339,1.341,1.704,3.254
226.1,0.687,0.475,2.051,1.244,1.352,3.157
212.6,0.555,0.464,2.119,1.381,1.562,3.166
192.2,0.617,0.475,2.109,1.407,1.517,3.205
203.2,0.533,0.453,2.056,1.352,1.416,3.106
203.2,0.577,0.459,2.002,1.257,1.360,3.260
191.5,0.519,0.481,2.330,1.373,1.595,3.319
217.7,0.618,0.464,2.056,1.378,1.420,3.210
206.7,0.586,0.459,1.995,1.259,1.537,3.244
202.5,0.495,0.469,2.349,1.272,1.586,3.373
203.8,0.561,0.476,2.077,1.352,1.451,3.242
199.0,0.469,0.463,2.391,1.364,1.456,3.095
210.1,0.593,0.440,2.105,1.324,1.416,3.101
204.6,0.659,0.466,2.054,1.391,1.298,3.270
201.7,0.475,0.462,2.209,1.315,1.624,3.200
217.1,0.539,0.478,2.114,1.261,1.323,3.238
205.4,0.533,0.466,2.307,1.474,1.474,3.211
194.1,0.568,0.453,2.140,1.161,1.605,3.258
210.6,0.551,0.459,2.074,1.244,1.471,3.213
218.9,0.567,0.473,2.196,1.246,1.426,3.112
197.2,0.477,0.469,2.185,1.267,1.670,3.337
210.8,0.557,0.449,2.151,1.254,1.371,3.203
220.1,0.677,0.484,1.937,1.165,1.409,3.366
196.4,0.547,0.470,2.127,1.181,1.602,3.230
217.5,0.505,0.453,2.135,1.290,1.519,3.300
203.0,0.512,0.460,2.103,1.345,1.657,3.274
213.5,0.567,0.449,2.234,1.286,1.401,3.149
199.1,0.556,0.477,2.093,1.317,1.574,3.264
206.5,0.516,0.446,2.210,1.311,1.587,3.142
220.4,0.650,0.457,1.984,1.301,1.461,3.338
200.5,0.558,0.475,2.204,1.279,1.457,3.240
197.2,0.537,0.481,2.108,1.273,1.388,3.333
207.7,0.591,0.461,2.153,1.300,1.347,3.143
212.5,0.533,0.476,1.999,1.275,1.559,3.329
202.0,0.555,0.467,2.146,1.319,1.451,3.106
197.1,0.499,0.428,2.146,1.419,1.644,2.967
203.1,0.586,0.474,2.072,1.295,1.520,3.285
207.2,0.622,0.478,2.019,1.296,1.458,3.320
214.7,0.668,0.490,1.997,1.229,1.306,3.304
198.5,0.598,0.472,2.074,1.251,1.500,3.247
218.2,0.520,0.445,2.196,1.291,1.396,3.293
221.6,0.681,0.466,1.952,1.202,1.488,3.285
196.6,0.474,0.460,2.314,1.499,1.628,3.093
196.3,0.534,0.483,2.219,1.294,1.597,3.324
197.7,0.518,0.466,2.253,1.306,1.643,3.236
208.0,0.578,0.479,2.058,1.338,1.530,3.261
205.0,0.589,0.471,1.913,1.249,1.486,3.232
209.7,0.663,0.468,2.036,1.274,1.342,3.232
203.2,0.535,0.465,2.007,1.221,1.665,3.271
207.1,0.531,0.485,2.132,1.247,1.580,3.473
204.5,0.498,0.484,2.200,1.310,1.561,3.297
219.3,0.532,0.478,2.082,1.296,1.458,3.347
217.4,0.562,0.468,2.084,1.286,1.452,3.185
217.8,0.521,0.460,2.131,1.269,1.551,3.205
204.9,0.565,0.469,2.022,1.326,1.501,3.039
210.1,0.536,0.495,2.087,1.371,1.459,3.389
202.2,0.523,0.449,2.229,1.347,1.554,3.102
196.1,0.501,0.472,2.168,1.461,1.530,3.313
211.6,0.618,0.463,1.974,1.194,1.453,3.111
181.1,0.515,0.477,2.286,1.352,1.588,3.227
202.6,0.547,0.473,2.124,1.331,1.471,3.270
199.0,0.543,0.463,2.060,1.275,1.555,3.226
202.2,0.518,0.450,2.161,1.284,1.564,3.077
209.7,0.507,0.468,2.013,1.330,1.548,3.334
197.9,0.661,0.493,1.978,1.299,1.459,3.273
218.1,0.558,0.464,1.957,1.363,1.428,3.173
196.4,0.598,0.476,2.184,1.280,1.476,3.279
212.4,0.521,0.459,2.209,1.461,1.510,3.288
206.5,0.626,0.477,2.009,1.198,1.369,3.236
201.6,0.536,0.464,2.121,1.345,1.551,3.203
199.5,0.514,0.477,2.049,1.286,1.537,3.443
197.2,0.532,0.468,2.243,1.329,1.543,3.080
206.6,0.573,0.464,2.108,1.278,1.419,3.063
220.0,0.630,0.477,1.904,1.310,1.375,3.098
211.3,0.531,0.484,2.282,1.350,1.390,3.287
208.8,0.462,0.481,2.301,1.354,1.656,3.269
193.6,0.550,0.471,2.190,1.372,1.467,3.167
204.6,0.683,0.479,2.033,1.307,1.361,3.281
208.4,0.474,0.473,2.309,1.262,1.620,3.466
205.7,0.527,0.472,2.295,1.318,1.519,3.257
206.1,0.525,0.462,2.121,1.278,1.596,3.197
201.6,0.508,0.463,2.436,1.523,1.500,3.231
198.4,0.503,0.466,2.205,1.258,1.592,3.274
210.2,0.599,0.465,1.997,1.497,1.496,3.246
211.0,0.529,0.474,2.227,1.359,1.519,3.292
213.3,0.502,0.460,2.178,1.380,1.533,3.189
220.9,0.629,0.441,2.163,1.246,1.359,3.001
198.4,0.562,0.472,2.156,1.398,1.503,3.238
219.8,0.599,0.463,2.110,1.266,1.397,3.080
211.3,0.552,0.457,2.190,1.390,1.459,3.039
188.9,0.504,0.467,2.243,1.466,1.595,3.223
196.8,0.499,0.454,2.237,1.389,1.680,3.212
214.1,0.636,0.470,2.133,1.196,1.339,3.295
197.2,0.497,0.474,2.220,1.364,1.567,3.319
202.7,0.486,0.473,2.378,1.421,1.550,3.201
193.7,0.474,0.477,2.367,1.424,1.577,3.253
223.6,0.539,0.448,2.171,1.417,1.426,3.258
184.2,0.520,0.493,2.244,1.406,1.524,3.368
201.2,0.593,0.457,1.959,1.265,1.432,3.141
228.5,0.672,0.479,2.006,1.215,1.323,3.201
210.2,0.503,0.464,2.441,1.412,1.566,3.217
191.3,0.507,0.475,2.324,1.332,1.511,3.184
201.4,0.540,0.474,2.209,1.298,1.411,3.221
191.5,0.564,0.463,2.089,1.324,1.585,3.248
200.3,0.576,0.461,2.117,1.314,1.412,3.198
203.5,0.586,0.465,2.100,1.413,1.456,3.181
205.2,0.527,0.466,2.298,1.508,1.552,3.265
219.4,0.685,0.467,1.965,1.340,1.343,3.056
207.5,0.587,0.475,2.115,1.252,1.577,3.231
195.4,0.516,0.445,2.117,1.398,1.571,3.284
210.9,0.575,0.451,2.076,1.361,1.349,3.120
221.8,0.821,0.492,1.875,1.070,1.360,3.273
216.6,0.610,0.467,2.068,1.305,1.353,3.246
221.2,0.593,0.465,1.951,1.319,1.434,3.326
226.1,0.620,0.443,2.001,1.205,1.245,3.155
202.5,0.501,0.467,2.072,1.361,1.563,3.238
210.9,0.637,0.417,2.111,1.125,1.307,2.954
209.1,0.530,0.456,2.154,1.313,1.581,3.231
204.4,0.549,0.476,2.232,1.362,1.504,3.179
205.9,0.700,0.454,2.026,1.319,1.391,3.145
196.8,0.599,0.466,2.006,1.336,1.278,3.099
200.5,0.577,0.492,2.094,1.302,1.556,3.300
197.4,0.570,0.488,2.112,1.301,1.550,3.219
202.5,0.562,0.443,2.027,1.336,1.430,3.035
202.6,0.496,0.475,2.249,1.447,1.613,3.327
210.9,0.597,0.467,2.144,1.410,1.488,3.278
206.2,0.432,0.442,2.374,1.474,1.694,3.097
198.8,0.509,0.467,2.220,1.458,1.550,3.184
223.0,0.583,0.462,1.973,1.373,1.452,3.268
239.1,0.718,0.471,2.021,1.136,1.414,3.111
198.5,0.545,0.468,2.120,1.331,1.486,3.410
195.3,0.519,0.474,2.150,1.389,1.550,3.340
203.3,0.561,0.458,2.097,1.362,1.491,3.295
214.9,0.640,0.458,1.903,1.189,1.325,3.139
214.3,0.509,0.456,2.153,1.251,1.479,3.128
204.7,0.564,0.465,2.099,1.298,1.469,3.296
203.9,0.556,0.464,2.091,1.271,1.566,3.219
207.1,0.582,0.478,2.140,1.306,1.529,3.133
202.2,0.490,0.468,2.366,1.484,1.661,3.244
195.4,0.613,0.474,2.025,1.347,1.506,3.130
214.3,0.664,0.479,2.046,1.246,1.408,3.246
197.6,0.528,0.468,2.128,1.267,1.652,3.260
202.5,0.588,0.457,1.935,1.242,1.407,3.264
202.2,0.523,0.473,2.144,1.393,1.622,3.120
205.6,0.590,0.472,2.039,1.195,1.450,3.284
201.2,0.531,0.458,2.135,1.339,1.569,3.282
210.2,0.487,0.461,2.153,1.304,1.645,3.113
207.9,0.488,0.462,2.173,1.414,1.535,3.286
209.1,0.499,0.459,2.139,1.390,1.623,3.079
209.1,0.603,0.476,2.031,1.391,1.443,3.246
211.1,0.510,0.485,2.246,1.383,1.527,3.268
210.2,0.533,0.457,2.175,1.305,1.480,3.131
212.2,0.630,0.484,2.006,1.281,1.359,3.210
205.8,0.461,0.508,2.274,1.342,1.652,3.443
194.4,0.463,0.465,2.231,1.422,1.779,3.252
211.8,0.567,0.452,2.047,1.367,1.484,3.280
202.4,0.524,0.457,2.032,1.333,1.551,3.308
197.4,0.567,0.462,2.176,1.296,1.574,3.197
203.1,0.511,0.465,2.325,1.338,1.525,3.276
198.5,0.549,0.446,2.106,1.370,1.567,3.141
209.6,0.609,0.447,2.067,1.297,1.339,3.173
197.4,0.501,0.463,2.205,1.412,1.615,3.208
200.3,0.504,0.463,2.074,1.257,1.617,3.248
197.9,0.529,0.455,2.064,1.446,1.626,3.097
211.0,0.600,0.467,2.117,1.270,1.386,3.244
198.3,0.541,0.472,2.153,1.309,1.623,3.281
210.9,0.633,0.465,1.932,1.171,1.447,3.178
184.8,0.536,0.468,2.098,1.261,1.613,3.288
200.3,0.521,0.466,2.065,1.314,1.610,3.245
203.3,0.513,0.482,2.259,1.320,1.597,3.285
206.2,0.563,0.483,2.095,1.227,1.450,3.277
198.8,0.492,0.456,2.271,1.481,1.601,3.112
192.3,0.533,0.477,2.204,1.332,1.456,3.256
216.7,0.655,0.454,1.982,1.119,1.412,3.105
197.7,0.465,0.481,2.361,1.322,1.734,3.362
206.0,0.549,0.468,2.302,1.356,1.449,3.333
214.9,0.551,0.477,2.084,1.297,1.429,3.253
174.5,0.498,0.489,2.169,1.427,1.591,3.356
203.5,0.518,0.464,2.270,1.350,1.485,3.260
200.7,0.547,0.470,2.196,1.386,1.499,3.295
210.2,0.579,0.470,2.112,1.150,1.419,3.246
199.6,0.489,0.478,2.173,1.396,1.555,3.340
206.8,0.491,0.455,2.222,1.343,1.619,3.272
202.6,0.497,0.472,2.316,1.350,1.663,3.252
226.4,0.573,0.468,1.955,1.317,1.476,3.285
211.5,0.513,0.468,2.089,1.239,1.547,3.231
211.7,0.540,0.471,2.049,1.276,1.383,3.333
232.8,0.774,0.495,1.892,1.155,1.147,3.106
226.8,0.576,0.449,1.985,1.162,1.371,3.131
200.8,0.568,0.463,2.116,1.241,1.488,3.076
213.9,0.605,0.461,2.078,1.197,1.447,3.215
211.4,0.592,0.471,1.877,1.407,1.429,3.259
234.4,0.768,0.492,1.976,1.161,1.261,3.288
203.2,0.500,0.477,2.184,1.319,1.622,3.149
198.0,0.506,0.490,2.219,1.348,1.597,3.337
202.5,0.561,0.469,2.049,1.368,1.562,3.290
202.3,0.539,0.464,2.123,1.303,1.485,3.336
239.3,0.704,0.456,2.071,1.150,1.481,3.165
192.4,0.595,0.457,1.982,1.219,1.511,3.161
205.7,0.478,0.447,2.034,1.315,1.584,3.046
207.1,0.515,0.446,2.126,1.389,1.529,3.184
204.7,0.555,0.465,2.027,1.313,1.607,3.403
216.7,0.564,0.461,2.098,1.241,1.389,3.219
200.7,0.589,0.460,2.200,1.289,1.534,3.424
201.7,0.622,0.447,2.086,1.254,1.311,2.981
203.0,0.517,0.483,2.066,1.411,1.555,3.320
213.1,0.604,0.452,2.090,1.285,1.468,3.171
211.4,0.512,0.456,2.293,1.254,1.468,3.122
204.4,0.596,0.477,2.134,1.259,1.517,3.363
207.6,0.607,0.461,2.074,1.318,1.356,3.278
204.8,0.551,0.476,2.156,1.272,1.494,3.286
237.3,0.886,0.463,1.978,0.966,1.247,3.040
222.9,0.648,0.482,1.953,1.205,1.366,3.357
218.6,0.638,0.456,2.174,1.353,1.361,3.248
214.7,0.663,0.468,1.976,1.161,1.427,3.272
205.3,0.580,0.472,2.031,1.291,1.406,3.395
198.8,0.533,0.469,2.107,1.382,1.635,3.172
212.3,0.504,0.466,2.156,1.272,1.570,3.243
191.3,0.546,0.475,2.010,1.330,1.401,3.300
208.5,0.539,0.470,2.208,1.222,1.445,3.221
199.4,0.611,0.487,2.054,1.232,1.414,3.440
207.4,0.534,0.448,2.067,1.367,1.402,3.152
230.3,0.529,0.458,1.962,1.239,1.468,3.342
226.3,0.522,0.464,2.042,1.153,1.446,3.230
201.6,0.559,0.478,2.231,1.369,1.394,3.398
203.2,0.520,0.453,2.110,1.375,1.534,3.221
209.1,0.497,0.473,2.374,1.352,1.587,3.173
218.1,0.596,0.454,2.042,1.339,1.351,3.074
199.3,0.570,0.479,2.167,1.355,1.561,3.342
210.2,0.568,0.456,2.060,1.302,1.492,3.172
216.3,0.676,0.465,1.892,1.223,1.404,3.085
211.7,0.661,0.465,1.889,1.283,1.311,3.207
217.6,0.654,0.450,1.995,1.289,1.316,3.100
223.2,0.646,0.470,1.903,1.258,1.337,3.222
197.9,0.508,0.463,2.194,1.385,1.527,3.298
217.0,0.545,0.456,2.169,1.257,1.518,3.343
202.8,0.592,0.458,1.948,1.199,1.429,3.225
195.3,0.594,0.474,1.995,1.275,1.529,3.320
222.6,0.482,0.450,2.132,1.328,1.604,3.298
196.6,0.545,0.460,2.159,1.286,1.694,3.207
235.1,0.649,0.464,1.868,1.274,1.356,3.259
203.8,0.561,0.454,2.113,1.366,1.443,3.135
208.8,0.573,0.458,2.184,1.320,1.412,3.373
210.4,0.520,0.449,2.235,1.406,1.408,3.158
232.8,0.669,0.474,1.967,1.174,1.432,3.262
196.9,0.543,0.457,2.066,1.408,1.545,3.228
205.3,0.529,0.456,2.208,1.373,1.626,3.359
198.3,0.563,0.458,2.220,1.206,1.427,3.231
209.7,0.566,0.478,1.963,1.163,1.506,3.309
191.8,0.599,0.454,2.025,1.326,1.495,3.291
194.7,0.592,0.473,2.032,1.333,1.559,3.337
215.4,0.552,0.441,2.054,1.301,1.430,3.150
232.9,0.678,0.471,1.943,1.208,1.264,3.384
207.5,0.623,0.485,1.896,1.269,1.299,3.300
204.7,0.587,0.486,2.049,1.325,1.406,3.246
178.8,0.498,0.484,2.312,1.366,1.696,3.195
214.4,0.500,0.460,2.181,1.231,1.502,3.206
213.4,0.571,0.460,2.013,1.207,1.508,3.338
197.6,0.536,0.463,2.162,1.368,1.515,3.190
207.4,0.585,0.491,2.017,1.268,1.391,3.320
210.3,0.564,0.466,2.049,1.309,1.528,3.226
222.8,0.635,0.477,2.037,1.391,1.309,3.225
206.8,0.587,0.447,2.052,1.330,1.438,3.081
209.9,0.614,0.478,2.083,1.220,1.413,3.302
211.9,0.516,0.463,2.198,1.287,1.508,3.262
218.5,0.506,0.450,2.282,1.330,1.477,3.224
222.1,0.688,0.479,1.908,1.305,1.227,3.283
200.6,0.592,0.464,2.072,1.361,1.523,3.167
216.8,0.635,0.477,2.008,1.239,1.517,3.225
220.7,0.539,0.458,2.141,1.281,1.524,3.295
205.0,0.572,0.458,2.071,1.402,1.482,3.150
203.8,0.477,0.465,2.234,1.443,1.641,3.222
207.6,0.594,0.465,2.013,1.278,1.369,3.200
211.7,0.568,0.461,2.058,1.304,1.455,3.256
211.0,0.573,0.464,2.014,1.328,1.462,3.446
209.8,0.574,0.465,1.897,1.263,1.552,3.154
196.8,0.540,0.472,2.157,1.276,1.580,3.311
190.5,0.482,0.470,2.278,1.420,1.563,3.207
220.2,0.645,0.481,2.001,1.117,1.339,3.366
205.9,0.539,0.476,2.048,1.272,1.382,3.231
205.8,0.570,0.466,2.071,1.200,1.558,3.224
202.1,0.504,0.461,2.176,1.380,1.543,3.217
208.1,0.623,0.465,1.970,1.322,1.405,3.180
206.9,0.694,0.478,1.960,1.211,1.404,3.239
214.1,0.574,0.465,2.032,1.264,1.449,3.238
202.3,0.589,0.485,1.982,1.261,1.533,3.191
188.8,0.499,0.485,2.112,1.407,1.672,3.306
206.7,0.545,0.473,2.068,1.375,1.538,3.364
196.3,0.556,0.480,2.265,1.379,1.399,3.476
208.4,0.552,0.476,1.985,1.316,1.596,3.234
199.9,0.563,0.469,2.076,1.305,1.528,3.225
210.6,0.506,0.454,2.168,1.442,1.597,3.204
190.6,0.501,0.453,2.236,1.306,1.695,3.188
206.9,0.517,0.458,2.048,1.281,1.501,3.274
203.0,0.532,0.447,2.169,1.464,1.543,3.247
220.1,0.474,0.456,2.136,1.341,1.519,3.256
196.0,0.513,0.468,2.113,1.518,1.612,3.429
220.1,0.700,0.473,1.990,1.278,1.226,3.265
214.4,0.602,0.469,2.029,1.264,1.481,3.214
212.9,0.534,0.489,2.232,1.325,1.577,3.372
192.2,0.545,0.467,2.363,1.459,1.522,3.219
222.4,0.578,0.460,2.055,1.230,1.484,3.232
204.7,0.576,0.469,2.164,1.381,1.457,3.239
208.6,0.564,0.451,2.062,1.408,1.356,3.151
211.5,0.613,0.470,1.978,1.239,1.321,3.277
225.1,0.514,0.457,2.202,1.349,1.542,3.145
192.7,0.538,0.500,2.166,1.348,1.483,3.466
197.0,0.574,0.490,2.025,1.396,1.533,3.242
215.7,0.588,0.463,1.985,1.400,1.461,3.133
191.2,0.613,0.487,2.281,1.381,1.475,3.367
201.0,0.458,0.479,2.314,1.417,1.551,3.403
214.9,0.569,0.465,2.169,1.305,1.401,3.223
198.5,0.496,0.468,2.364,1.500,1.524,3.200
225.3,0.623,0.457,2.023,1.391,1.271,3.181
203.7,0.598,0.465,1.901,1.187,1.469,3.124
222.0,0.511,0.467,2.297,1.309,1.534,3.453
212.1,0.545,0.456,2.203,1.330,1.435,3.269
218.5,0.585,0.485,2.078,1.279,1.385,3.305
221.1,0.621,0.466,1.958,1.266,1.326,3.310
199.2,0.500,0.471,2.169,1.378,1.543,3.300
215.7,0.577,0.489,2.044,1.240,1.452,3.348
215.3,0.685,0.477,1.981,1.095,1.393,3.439
219.2,0.560,0.470,2.014,1.323,1.553,3.283
197.1,0.584,0.474,2.072,1.382,1.521,3.364
182.5,0.503,0.481,2.275,1.417,1.687,3.356
201.4,0.694,0.488,1.983,1.177,1.375,3.206
195.9,0.567,0.487,2.129,1.354,1.463,3.270
209.2,0.491,0.478,2.220,1.389,1.502,3.293
199.6,0.572,0.491,2.159,1.415,1.377,3.363
191.5,0.559,0.470,2.123,1.307,1.503,3.291
201.3,0.548,0.500,2.188,1.171,1.458,3.451
204.3,0.670,0.479,2.107,1.275,1.436,3.123
201.7,0.643,0.476,1.988,1.330,1.492,3.231
188.5,0.515,0.494,2.242,1.501,1.501,3.388
203.0,0.465,0.461,2.234,1.358,1.660,3.324
195.2,0.492,0.477,2.245,1.511,1.702,3.301
190.8,0.527,0.473,2.151,1.462,1.566,3.206
197.7,0.467,0.498,2.262,1.490,1.555,3.220
190.7,0.480,0.493,2.208,1.447,1.668,3.538
198.4,0.545,0.469,1.976,1.359,1.640,3.215
199.9,0.546,0.508,2.047,1.453,1.522,3.279
195.2,0.481,0.473,2.162,1.409,1.467,3.230
191.9,0.490,0.481,2.135,1.468,1.724,3.400
192.0,0.436,0.471,2.220,1.452,1.722,3.179
202.0,0.575,0.474,2.107,1.345,1.496,3.200
181.6,0.479,0.489,2.423,1.486,1.693,3.314
196.2,0.528,0.467,2.250,1.359,1.549,3.419
227.5,0.483,0.440,2.023,1.402,1.518,3.128
195.1,0.596,0.493,1.985,1.358,1.435,3.402
190.3,0.589,0.461,2.054,1.185,1.499,3.271
211.6,0.489,0.480,2.188,1.319,1.662,3.298
210.0,0.572,0.473,2.199,1.462,1.505,3.287
190.8,0.454,0.471,2.215,1.603,1.673,3.255
199.6,0.523,0.462,2.189,1.544,1.493,3.317
198.2,0.511,0.469,2.152,1.189,1.566,3.184
207.3,0.631,0.462,1.990,1.207,1.508,3.274
204.3,0.473,0.468,2.288,1.312,1.590,3.156
236.2,0.867,0.477,1.791,1.083,1.163,3.305
195.8,0.574,0.483,2.045,1.350,1.536,3.338
200.5,0.445,0.476,2.253,1.251,1.667,3.257
195.4,0.554,0.478,2.126,1.435,1.482,3.207
198.2,0.538,0.491,2.158,1.334,1.476,3.325
208.4,0.711,0.473,1.939,1.215,1.380,3.343
187.7,0.537,0.472,2.184,1.558,1.463,3.313
193.9,0.536,0.494,2.167,1.314,1.557,3.273
201.1,0.549,0.466,2.154,1.431,1.439,3.136
189.6,0.531,0.492,2.098,1.346,1.556,3.402
192.8,0.566,0.478,2.071,1.356,1.341,3.232
196.6,0.562,0.493,2.084,1.399,1.444,3.392
198.6,0.521,0.487,2.171,1.345,1.603,3.243
197.3,0.475,0.486,2.210,1.424,1.682,3.271
193.5,0.529,0.479,2.178,1.313,1.467,3.209
199.3,0.576,0.483,2.100,1.287,1.479,3.161
210.8,0.727,0.497,1.864,1.213,1.286,3.296
197.9,0.614,0.475,2.116,1.323,1.396,3.186
189.7,0.547,0.484,2.033,1.286,1.556,3.368
201.2,0.532,0.482,2.166,1.367,1.586,3.243
194.4,0.626,0.477,2.002,1.374,1.468,3.313
188.1,0.581,0.467,2.069,1.406,1.498,3.257
186.0,0.584,0.465,2.150,1.292,1.567,3.205
198.3,0.548,0.467,2.168,1.380,1.435,3.241
213.3,0.581,0.467,2.087,1.257,1.350,3.323
191.6,0.578,0.494,2.230,1.259,1.503,3.288
