SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_5,SHAPE_7,SHAPE_8,SHAPE_10
0.537,0.468,2.007,1.264,1.496,1.044,0.374
0.566,0.450,2.105,1.240,1.389,1.047,0.419
0.629,0.480,1.913,1.313,1.422,1.098,0.400
0.515,0.449,2.145,1.332,1.519,1.037,0.374
0.642,0.475,2.034,1.330,1.338,1.028,0.387
0.474,0.444,2.272,1.299,1.624,1.061,0.364
0.554,0.468,2.229,1.372,1.503,1.115,0.367
0.570,0.463,2.018,1.242,1.539,1.121,0.379
0.575,0.446,1.972,1.276,1.496,1.056,0.403
0.550,0.467,2.177,1.455,1.415,1.091,0.364
0.550,0.457,2.272,1.376,1.448,1.126,0.367
0.604,0.462,2.089,1.366,1.473,1.066,0.368
0.620,0.453,2.013,1.302,1.520,1.076,0.377
0.528,0.446,2.022,1.259,1.540,1.010,0.384
0.526,0.453,2.166,1.298,1.683,1.007,0.351
0.626,0.470,2.039,1.253,1.267,1.042,0.365
0.556,0.450,1.953,1.355,1.421,1.023,0.412
0.583,0.457,2.094,1.312,1.426,1.043,0.362
0.677,0.452,1.895,1.287,1.500,1.101,0.371
0.625,0.448,1.929,1.342,1.334,0.990,0.394
0.506,0.484,2.271,1.318,1.494,0.990,0.395
0.683,0.477,1.943,1.306,1.349,0.925,0.397
0.667,0.476,1.964,1.381,1.183,1.107,0.402
0.740,0.467,2.095,1.498,1.295,0.959,0.382
0.577,0.481,2.113,1.283,1.465,1.096,0.362
0.538,0.444,2.163,1.310,1.612,1.075,0.365
0.563,0.459,2.136,1.329,1.458,1.059,0.391
0.531,0.454,2.141,1.261,1.597,1.028,0.369
0.500,0.477,2.235,1.273,1.571,1.023,0.356
0.550,0.469,2.124,1.281,1.450,1.068,0.366
0.540,0.467,2.202,1.328,1.396,1.066,0.391
0.491,0.468,2.097,1.317,1.567,0.979,0.403
0.501,0.480,2.374,1.334,1.528,1.053,0.371
0.607,0.452,2.018,1.318,1.419,1.098,0.390
0.499,0.475,2.257,1.331,1.474,1.027,0.384
0.726,0.471,1.927,1.489,1.451,0.901,0.424
0.594,0.462,1.990,1.311,1.478,1.155,0.373
0.524,0.485,2.178,1.358,1.535,1.030,0.366
0.549,0.451,2.022,1.364,1.540,0.979,0.370
0.607,0.472,2.110,1.238,1.470,1.071,0.386
0.576,0.462,2.053,1.319,1.540,1.067,0.360
0.492,0.455,2.230,1.338,1.529,1.042,0.391
0.499,0.462,2.145,1.293,1.562,0.996,0.369
0.580,0.477,2.015,1.272,1.570,1.080,0.342
0.507,0.483,2.189,1.304,1.614,0.976,0.375
0.538,0.473,2.126,1.269,1.475,1.018,0.392
0.559,0.468,2.042,1.303,1.568,1.012,0.334
0.580,0.479,2.155,1.183,1.472,1.060,0.359
0.572,0.483,2.103,1.262,1.478,0.980,0.377
0.541,0.467,2.236,1.335,1.489,1.096,0.390
0.506,0.460,2.192,1.413,1.637,1.004,0.384
0.467,0.467,2.205,1.188,1.742,0.983,0.409
0.511,0.468,2.159,1.331,1.469,1.036,0.377
0.586,0.464,2.073,1.279,1.433,1.122,0.379
0.520,0.450,2.229,1.234,1.511,1.043,0.380
0.557,0.487,2.105,1.400,1.593,1.003,0.375
0.584,0.475,2.044,1.256,1.478,1.045,0.330
0.671,0.471,1.922,1.306,1.318,1.075,0.382
0.512,0.440,2.265,1.359,1.614,1.010,0.407
0.563,0.455,2.160,1.352,1.453,1.053,0.356
0.551,0.452,1.951,1.367,1.450,1.026,0.393
0.575,0.454,2.041,1.369,1.409,1.017,0.375
0.510,0.469,2.213,1.269,1.546,1.030,0.394
0.626,0.467,2.063,1.244,1.303,1.111,0.373
0.537,0.477,2.103,1.346,1.560,1.026,0.357
0.520,0.457,2.302,1.407,1.521,1.137,0.372
0.663,0.482,1.951,1.363,1.300,1.001,0.361
0.459,0.453,2.239,1.244,1.656,0.980,0.371
0.487,0.451,2.046,1.326,1.537,0.978,0.420
0.529,0.453,2.055,1.300,1.517,1.017,0.358
0.523,0.461,2.135,1.277,1.522,0.992,0.376
0.499,0.465,2.274,1.289,1.570,0.942,0.394
0.521,0.452,2.109,1.264,1.551,1.050,0.386
0.536,0.459,2.308,1.464,1.413,1.107,0.352
0.610,0.458,1.981,1.401,1.357,1.060,0.403
0.471,0.466,2.275,1.260,1.662,1.020,0.366
0.509,0.469,2.145,1.328,1.534,0.951,0.373
0.507,0.443,2.124,1.405,1.567,1.004,0.386
0.526,0.486,2.194,1.266,1.553,1.022,0.381
0.555,0.459,2.245,1.238,1.603,1.081,0.380
0.586,0.472,2.026,1.300,1.486,1.013,0.372
0.595,0.450,2.224,1.217,1.408,1.107,0.416
0.542,0.451,2.136,1.172,1.489,0.988,0.387
0.562,0.462,2.102,1.260,1.390,1.062,0.401
0.570,0.454,2.166,1.306,1.426,1.064,0.360
0.552,0.480,2.134,1.241,1.491,0.994,0.390
0.581,0.475,2.119,1.270,1.453,0.998,0.414
0.538,0.465,2.032,1.319,1.574,0.948,0.396
0.612,0.462,2.095,1.385,1.452,1.083,0.358
0.581,0.458,2.058,1.309,1.414,1.020,0.381
0.571,0.474,2.018,1.313,1.526,1.065,0.398
0.568,0.468,2.168,1.259,1.497,1.138,0.366
0.533,0.460,2.100,1.438,1.400,0.995,0.413
0.660,0.472,1.910,1.380,1.439,0.992,0.380
0.555,0.487,2.138,1.260,1.546,1.020,0.380
0.541,0.479,2.235,1.306,1.532,1.007,0.394
0.580,0.447,2.168,1.319,1.508,1.085,0.386
0.633,0.459,2.000,1.263,1.402,1.054,0.374
0.608,0.450,1.956,1.301,1.354,0.994,0.394
0.588,0.471,2.023,1.358,1.442,0.957,0.368
0.607,0.466,2.117,1.302,1.446,1.025,0.360
0.569,0.470,1.952,1.303,1.469,0.993,0.386
0.523,0.459,2.284,1.333,1.554,1.039,0.367
0.477,0.473,2.296,1.330,1.604,0.954,0.366
0.499,0.475,2.168,1.322,1.571,0.983,0.369
0.560,0.486,2.344,1.401,1.575,1.037,0.370
0.623,0.458,2.013,1.270,1.441,1.077,0.394
0.567,0.468,2.001,1.313,1.538,0.949,0.376
0.612,0.467,2.141,1.277,1.312,1.008,0.369
0.511,0.463,2.076,1.177,1.508,1.030,0.383
0.565,0.477,2.041,1.180,1.451,1.028,0.343
0.636,0.471,1.991,1.392,1.480,1.021,0.387
0.637,0.440,1.945,1.360,1.423,1.013,0.392
0.575,0.471,2.004,1.422,1.405,1.038,0.385
0.571,0.485,2.028,1.302,1.491,1.030,0.348
0.457,0.470,2.339,1.299,1.704,0.942,0.363
0.687,0.475,2.051,1.384,1.352,1.026,0.387
0.555,0.464,2.119,1.441,1.562,1.022,0.390
0.617,0.475,2.109,1.339,1.517,1.035,0.355
0.533,0.453,2.056,1.268,1.416,0.985,0.364
0.577,0.459,2.002,1.476,1.360,0.981,0.368
0.519,0.481,2.330,1.253,1.595,0.996,0.367
0.618,0.464,2.056,1.317,1.420,1.094,0.378
0.586,0.459,1.995,1.271,1.537,1.022,0.358
0.495,0.469,2.349,1.312,1.586,1.038,0.370
0.561,0.476,2.077,1.359,1.451,1.060,0.379
0.469,0.463,2.391,1.365,1.456,0.957,0.357
0.593,0.440,2.105,1.315,1.416,1.110,0.410
0.659,0.466,2.054,1.350,1.298,1.135,0.373
0.475,0.462,2.209,1.300,1.624,0.970,0.371
0.539,0.478,2.114,1.340,1.323,1.004,0.395
0.533,0.466,2.307,1.350,1.474,1.031,0.389
0.568,0.453,2.140,1.339,1.605,0.982,0.364
0.551,0.459,2.074,1.307,1.471,0.957,0.378
0.567,0.473,2.196,1.259,1.426,1.069,0.397
0.477,0.469,2.185,1.273,1.670,0.967,0.367
0.557,0.449,2.151,1.317,1.371,0.982,0.393
0.677,0.484,1.937,1.420,1.409,0.988,0.368
0.547,0.470,2.127,1.272,1.602,0.939,0.377
0.505,0.453,2.135,1.215,1.519,1.007,0.398
0.512,0.460,2.103,1.323,1.657,1.007,0.372
0.567,0.449,2.234,1.410,1.401,1.110,0.390
0.556,0.477,2.093,1.301,1.574,1.004,0.363
0.516,0.446,2.210,1.358,1.587,1.054,0.376
0.650,0.457,1.984,1.503,1.461,1.066,0.404
0.558,0.475,2.204,1.243,1.457,1.069,0.381
0.537,0.481,2.108,1.246,1.388,0.990,0.350
0.591,0.461,2.153,1.379,1.347,1.065,0.380
0.533,0.476,1.999,1.360,1.559,0.966,0.387
0.555,0.467,2.146,1.190,1.451,1.017,0.380
0.499,0.428,2.146,1.248,1.644,1.027,0.373
0.586,0.474,2.072,1.350,1.520,1.055,0.367
0.622,0.478,2.019,1.390,1.458,0.957,0.377
0.668,0.490,1.997,1.365,1.306,1.016,0.373
0.598,0.472,2.074,1.348,1.500,1.000,0.364
0.520,0.445,2.196,1.314,1.396,0.997,0.393
0.681,0.466,1.952,1.303,1.488,1.071,0.413
0.474,0.460,2.314,1.302,1.628,1.059,0.361
0.534,0.483,2.219,1.317,1.597,1.043,0.360
0.518,0.466,2.253,1.349,1.643,0.975,0.370
0.578,0.479,2.058,1.285,1.530,1.052,0.364
0.589,0.471,1.913,1.305,1.486,1.037,0.383
0.663,0.468,2.036,1.299,1.342,1.037,0.383
0.535,0.465,2.007,1.228,1.665,0.991,0.347
0.531,0.485,2.132,1.297,1.580,0.920,0.373
0.498,0.484,2.200,1.354,1.561,0.956,0.377
0.532,0.478,2.082,1.464,1.458,0.959,0.397
0.562,0.468,2.084,1.490,1.452,1.095,0.395
0.521,0.460,2.131,1.227,1.551,0.985,0.420
0.565,0.469,2.022,1.276,1.501,1.084,0.353
0.536,0.495,2.087,1.256,1.459,0.974,0.380
0.523,0.449,2.229,1.329,1.554,1.025,0.365
0.501,0.472,2.168,1.418,1.530,1.006,0.346
0.618,0.463,1.974,1.444,1.453,0.963,0.370
0.515,0.477,2.286,1.308,1.588,1.008,0.361
0.547,0.473,2.124,1.384,1.471,1.004,0.380
0.543,0.463,2.060,1.344,1.555,1.004,0.396
0.518,0.450,2.161,1.302,1.564,1.032,0.391
0.507,0.468,2.013,1.355,1.548,1.013,0.370
0.661,0.493,1.978,1.300,1.459,0.976,0.351
0.558,0.464,1.957,1.392,1.428,1.091,0.403
0.598,0.476,2.184,1.201,1.476,1.072,0.376
0.521,0.459,2.209,1.379,1.510,1.065,0.409
0.626,0.477,2.009,1.295,1.369,1.046,0.367
0.536,0.464,2.121,1.385,1.551,1.096,0.377
0.514,0.477,2.049,1.248,1.537,0.940,0.363
0.532,0.468,2.243,1.225,1.543,0.941,0.365
0.573,0.464,2.108,1.254,1.419,1.045,0.373
0.630,0.477,1.904,1.331,1.375,1.122,0.390
0.531,0.484,2.282,1.309,1.390,0.952,0.404
0.462,0.481,2.301,1.327,1.656,0.946,0.384
0.550,0.471,2.190,1.200,1.467,1.048,0.361
0.683,0.479,2.033,1.362,1.361,1.078,0.353
0.474,0.473,2.309,1.151,1.620,0.957,0.369
0.527,0.472,2.295,1.345,1.519,1.056,0.378
0.525,0.462,2.121,1.326,1.596,0.966,0.385
0.508,0.463,2.436,1.438,1.500,1.051,0.383
0.503,0.466,2.205,1.278,1.592,1.036,0.380
0.599,0.465,1.997,1.473,1.496,1.119,0.381
0.529,0.474,2.227,1.328,1.519,1.063,0.380
0.502,0.460,2.178,1.304,1.533,0.984,0.396
0.629,0.441,2.163,1.290,1.359,1.060,0.397
0.562,0.472,2.156,1.308,1.503,1.023,0.377
0.599,0.463,2.110,1.311,1.397,1.054,0.401
0.552,0.457,2.190,1.432,1.459,1.070,0.376
0.504,0.467,2.243,1.281,1.595,1.094,0.352
0.499,0.454,2.237,1.256,1.680,1.044,0.363
0.636,0.470,2.133,1.251,1.339,0.918,0.373
0.497,0.474,2.220,1.251,1.567,0.943,0.378
0.486,0.473,2.378,1.222,1.550,0.994,0.402
0.474,0.477,2.367,1.306,1.577,0.942,0.373
0.539,0.448,2.171,1.317,1.426,1.070,0.427
0.520,0.493,2.244,1.314,1.524,0.996,0.346
0.593,0.457,1.959,1.301,1.432,1.014,0.369
0.672,0.479,2.006,1.350,1.323,0.984,0.413
0.503,0.464,2.441,1.382,1.566,1.078,0.381
0.507,0.475,2.324,1.197,1.511,1.025,0.366
0.540,0.474,2.209,1.316,1.411,1.009,0.392
0.564,0.463,2.089,1.108,1.585,1.012,0.370
0.576,0.461,2.117,1.245,1.412,1.009,0.402
0.586,0.465,2.100,1.255,1.456,1.038,0.360
0.527,0.466,2.298,1.332,1.552,1.058,0.393
0.685,0.467,1.965,1.319,1.343,1.055,0.400
0.587,0.475,2.115,1.353,1.577,1.018,0.399
0.516,0.445,2.117,1.312,1.571,1.008,0.370
0.575,0.451,2.076,1.272,1.349,1.067,0.395
0.821,0.492,1.875,1.439,1.360,0.967,0.387
0.610,0.467,2.068,1.242,1.353,1.038,0.398
0.593,0.465,1.951,1.186,1.434,1.029,0.404
0.620,0.443,2.001,1.335,1.245,0.988,0.401
0.501,0.467,2.072,1.213,1.563,0.993,0.369
0.637,0.417,2.111,1.336,1.307,1.004,0.391
0.530,0.456,2.154,1.271,1.581,1.021,0.389
0.549,0.476,2.232,1.306,1.504,1.039,0.389
0.700,0.454,2.026,1.248,1.391,1.076,0.374
0.599,0.466,2.006,1.189,1.278,1.079,0.381
0.577,0.492,2.094,1.318,1.556,0.920,0.381
0.570,0.488,2.112,1.275,1.550,1.002,0.360
0.562,0.443,2.027,1.337,1.430,1.066,0.378
0.496,0.475,2.249,1.315,1.613,1.004,0.380
0.597,0.467,2.144,1.239,1.488,1.132,0.371
0.432,0.442,2.374,1.330,1.694,0.978,0.406
0.509,0.467,2.220,1.164,1.550,1.023,0.357
0.583,0.462,1.973,1.294,1.452,1.001,0.402
0.718,0.471,2.021,1.497,1.414,0.963,0.390
0.545,0.468,2.120,1.320,1.486,1.078,0.374
0.519,0.474,2.150,1.380,1.550,0.928,0.371
0.561,0.458,2.097,1.208,1.491,0.985,0.376
0.640,0.458,1.903,1.216,1.325,0.949,0.352
0.509,0.456,2.153,1.344,1.479,0.972,0.402
0.564,0.465,2.099,1.216,1.469,1.013,0.375
0.556,0.464,2.091,1.302,1.566,0.944,0.372
0.582,0.478,2.140,1.310,1.529,1.039,0.374
0.490,0.468,2.366,1.274,1.661,1.095,0.391
0.613,0.474,2.025,1.199,1.506,1.069,0.359
0.664,0.479,2.046,1.357,1.408,0.991,0.377
0.528,0.468,2.128,1.309,1.652,0.909,0.373
0.588,0.457,1.935,1.293,1.407,1.021,0.381
0.523,0.473,2.144,1.317,1.622,1.091,0.365
0.590,0.472,2.039,1.310,1.450,1.055,0.367
0.531,0.458,2.135,1.324,1.569,1.019,0.364
0.487,0.461,2.153,1.297,1.645,0.959,0.388
0.488,0.462,2.173,1.272,1.535,1.019,0.380
0.499,0.459,2.139,1.290,1.623,0.968,0.399
0.603,0.476,2.031,1.251,1.443,1.059,0.392
0.510,0.485,2.246,1.278,1.527,1.009,0.402
0.533,0.457,2.175,1.300,1.480,1.040,0.402
0.630,0.484,2.006,1.262,1.359,1.024,0.376
0.461,0.508,2.274,1.175,1.652,0.948,0.381
0.463,0.465,2.231,1.360,1.779,0.998,0.386
0.567,0.452,2.047,1.396,1.484,1.082,0.407
0.524,0.457,2.032,1.408,1.551,1.009,0.379
0.567,0.462,2.176,1.238,1.574,0.993,0.369
0.511,0.465,2.325,1.366,1.525,1.056,0.361
0.549,0.446,2.106,1.266,1.567,1.013,0.369
0.609,0.447,2.067,1.427,1.339,1.065,0.408
0.501,0.463,2.205,1.411,1.615,1.025,0.377
0.504,0.463,2.074,1.257,1.617,0.882,0.363
0.529,0.455,2.064,1.275,1.626,0.999,0.400
0.600,0.467,2.117,1.396,1.386,1.052,0.404
0.541,0.472,2.153,1.272,1.623,0.947,0.380
0.633,0.465,1.932,1.296,1.447,1.023,0.375
0.536,0.468,2.098,1.257,1.613,1.027,0.348
0.521,0.466,2.065,1.283,1.610,1.052,0.350
0.513,0.482,2.259,1.315,1.597,0.999,0.383
0.563,0.483,2.095,1.262,1.450,1.005,0.366
0.492,0.456,2.271,1.311,1.601,1.032,0.383
0.533,0.477,2.204,1.220,1.456,1.013,0.363
0.655,0.454,1.982,1.278,1.412,1.073,0.391
0.465,0.481,2.361,1.299,1.734,0.981,0.355
0.549,0.468,2.302,1.538,1.449,1.011,0.389
0.551,0.477,2.084,1.283,1.429,0.994,0.395
0.498,0.489,2.169,1.269,1.591,0.943,0.340
0.518,0.464,2.270,1.446,1.485,1.035,0.373
0.547,0.470,2.196,1.313,1.499,1.029,0.380
0.579,0.470,2.112,1.284,1.419,1.001,0.392
0.489,0.478,2.173,1.309,1.555,1.009,0.365
0.491,0.455,2.222,1.287,1.619,1.094,0.386
0.497,0.472,2.316,1.413,1.663,1.016,0.395
0.573,0.468,1.955,1.317,1.476,1.064,0.401
0.513,0.468,2.089,1.260,1.547,0.953,0.380
0.540,0.471,2.049,1.251,1.383,1.008,0.377
0.774,0.495,1.892,1.245,1.147,1.035,0.422
0.576,0.449,1.985,1.327,1.371,0.966,0.429
0.568,0.463,2.116,1.367,1.488,1.016,0.389
0.605,0.461,2.078,1.304,1.447,1.057,0.385
0.592,0.471,1.877,1.401,1.429,1.053,0.366
0.768,0.492,1.976,1.356,1.261,0.989,0.415
0.500,0.477,2.184,1.234,1.622,0.959,0.364
0.506,0.490,2.219,1.226,1.597,0.965,0.364
0.561,0.469,2.049,1.353,1.562,1.016,0.368
0.539,0.464,2.123,1.344,1.485,1.041,0.374
0.704,0.456,2.071,1.418,1.481,0.952,0.412
0.595,0.457,1.982,1.174,1.511,0.939,0.336
0.478,0.447,2.034,1.350,1.584,0.986,0.369
0.515,0.446,2.126,1.431,1.529,1.027,0.393
0.555,0.465,2.027,1.337,1.607,1.024,0.360
0.564,0.461,2.098,1.374,1.389,1.040,0.397
0.589,0.460,2.200,1.370,1.534,1.020,0.370
0.622,0.447,2.086,1.244,1.311,1.064,0.382
0.517,0.483,2.066,1.177,1.555,0.997,0.371
0.604,0.452,2.090,1.419,1.468,0.954,0.391
0.512,0.456,2.293,1.298,1.468,0.949,0.397
0.596,0.477,2.134,1.234,1.517,1.055,0.391
0.607,0.461,2.074,1.298,1.356,1.101,0.394
0.551,0.476,2.156,1.310,1.494,0.979,0.390
0.886,0.463,1.978,1.242,1.247,0.912,0.419
0.648,0.482,1.953,1.355,1.366,0.982,0.401
0.638,0.456,2.174,1.331,1.361,1.103,0.406
0.663,0.468,1.976,1.498,1.427,0.987,0.391
0.580,0.472,2.031,1.254,1.406,1.044,0.379
0.533,0.469,2.107,1.320,1.635,1.065,0.382
0.504,0.466,2.156,1.393,1.570,0.997,0.395
0.546,0.475,2.010,1.388,1.401,0.985,0.334
0.539,0.470,2.208,1.290,1.445,0.961,0.399
0.611,0.487,2.054,1.344,1.414,1.041,0.355
0.534,0.448,2.067,1.312,1.402,1.038,0.378
0.529,0.458,1.962,1.299,1.468,0.922,0.427
0.522,0.464,2.042,1.222,1.446,0.930,0.401
0.559,0.478,2.231,1.370,1.394,1.072,0.371
0.520,0.453,2.110,1.283,1.534,1.026,0.361
0.497,0.473,2.374,1.380,1.587,1.061,0.387
0.596,0.454,2.042,1.414,1.351,1.060,0.410
0.570,0.479,2.167,1.316,1.561,1.122,0.354
0.568,0.456,2.060,1.252,1.492,1.126,0.375
0.676,0.465,1.892,1.317,1.404,1.098,0.393
0.661,0.465,1.889,1.269,1.311,1.027,0.373
0.654,0.450,1.995,1.361,1.316,1.081,0.370
0.646,0.470,1.903,1.469,1.337,1.066,0.383
0.508,0.463,2.194,1.247,1.527,1.034,0.360
0.545,0.456,2.169,1.341,1.518,1.068,0.386
0.592,0.458,1.948,1.281,1.429,1.013,0.391
0.594,0.474,1.995,1.409,1.529,1.011,0.351
0.482,0.450,2.132,1.428,1.604,0.920,0.420
0.545,0.460,2.159,1.378,1.694,1.038,0.368
0.649,0.464,1.868,1.240,1.356,1.012,0.411
0.561,0.454,2.113,1.399,1.443,1.061,0.360
0.573,0.458,2.184,1.324,1.412,1.102,0.390
0.520,0.449,2.235,1.280,1.408,1.080,0.405
0.669,0.474,1.967,1.375,1.432,1.020,0.443
0.543,0.457,2.066,1.410,1.545,1.072,0.344
0.529,0.456,2.208,1.335,1.626,1.043,0.387
0.563,0.458,2.220,1.287,1.427,1.077,0.387
0.566,0.478,1.963,1.512,1.506,1.055,0.365
0.599,0.454,2.025,1.378,1.495,0.995,0.364
0.592,0.473,2.032,1.326,1.559,1.062,0.355
0.552,0.441,2.054,1.250,1.430,1.039,0.393
0.678,0.471,1.943,1.386,1.264,1.098,0.398
0.623,0.485,1.896,1.361,1.299,1.062,0.358
0.587,0.486,2.049,1.344,1.406,1.117,0.373
0.498,0.484,2.312,1.283,1.696,1.051,0.335
0.500,0.460,2.181,1.267,1.502,0.996,0.383
0.571,0.460,2.013,1.320,1.508,1.002,0.388
0.536,0.463,2.162,1.321,1.515,1.059,0.368
0.585,0.491,2.017,1.315,1.391,0.992,0.380
0.564,0.466,2.049,1.318,1.528,0.994,0.383
0.635,0.477,2.037,1.416,1.309,1.126,0.407
0.587,0.447,2.052,1.263,1.438,1.133,0.377
0.614,0.478,2.083,1.460,1.413,1.056,0.389
0.516,0.463,2.198,1.283,1.508,1.021,0.385
0.506,0.450,2.282,1.311,1.477,1.049,0.396
0.688,0.479,1.908,1.314,1.227,1.143,0.361
0.592,0.464,2.072,1.307,1.523,1.052,0.395
0.635,0.477,2.008,1.464,1.517,1.056,0.376
0.539,0.458,2.141,1.400,1.524,1.016,0.395
0.572,0.458,2.071,1.266,1.482,1.098,0.406
0.477,0.465,2.234,1.288,1.641,1.018,0.379
0.594,0.465,2.013,1.297,1.369,1.166,0.378
0.568,0.461,2.058,1.395,1.455,1.005,0.392
0.573,0.464,2.014,1.408,1.462,1.027,0.382
0.574,0.465,1.897,1.273,1.552,0.998,0.379
0.540,0.472,2.157,1.269,1.580,0.976,0.388
0.482,0.470,2.278,1.293,1.563,1.059,0.347
0.645,0.481,2.001,1.321,1.339,1.022,0.380
0.539,0.476,2.048,1.337,1.382,1.038,0.368
0.570,0.466,2.071,1.258,1.558,1.081,0.382
0.504,0.461,2.176,1.372,1.543,0.963,0.368
0.623,0.465,1.970,1.514,1.405,1.080,0.376
0.694,0.478,1.960,1.283,1.404,1.011,0.374
0.574,0.465,2.032,1.402,1.449,0.987,0.374
0.589,0.485,1.982,1.260,1.533,0.993,0.361
0.499,0.485,2.112,1.289,1.672,0.957,0.343
0.545,0.473,2.068,1.299,1.538,1.013,0.370
0.556,0.480,2.265,1.422,1.399,1.064,0.357
0.552,0.476,1.985,1.239,1.596,0.972,0.386
0.563,0.469,2.076,1.292,1.528,0.980,0.365
0.506,0.454,2.168,1.271,1.597,1.051,0.385
0.501,0.453,2.236,1.302,1.695,0.996,0.368
0.517,0.458,2.048,1.295,1.501,1.051,0.369
0.532,0.447,2.169,1.524,1.543,1.019,0.372
0.474,0.456,2.136,1.325,1.519,1.031,0.409
0.513,0.468,2.113,1.230,1.612,1.044,0.359
0.700,0.473,1.990,1.368,1.226,1.189,0.401
0.602,0.469,2.029,1.336,1.481,1.005,0.403
0.534,0.489,2.232,1.384,1.577,1.035,0.388
0.545,0.467,2.363,1.607,1.522,1.127,0.350
0.578,0.460,2.055,1.311,1.484,1.050,0.400
0.576,0.469,2.164,1.271,1.457,1.048,0.395
0.564,0.451,2.062,1.296,1.356,1.086,0.407
0.613,0.470,1.978,1.314,1.321,1.026,0.380
0.514,0.457,2.202,1.398,1.542,1.041,0.405
0.538,0.500,2.166,1.320,1.483,0.983,0.361
0.574,0.490,2.025,1.258,1.533,1.017,0.339
0.588,0.463,1.985,1.511,1.461,1.001,0.415
0.613,0.487,2.281,1.432,1.475,1.088,0.362
0.458,0.479,2.314,1.249,1.551,0.941,0.369
0.569,0.465,2.169,1.489,1.401,0.985,0.415
0.496,0.468,2.364,1.362,1.524,1.094,0.384
0.623,0.457,2.023,1.434,1.271,1.120,0.411
0.598,0.465,1.901,1.324,1.469,0.986,0.370
0.511,0.467,2.297,1.446,1.534,0.981,0.413
0.545,0.456,2.203,1.513,1.435,0.990,0.385
0.585,0.485,2.078,1.330,1.385,1.020,0.402
0.621,0.466,1.958,1.292,1.326,1.077,0.434
0.500,0.471,2.169,1.203,1.543,1.024,0.386
0.577,0.489,2.044,1.230,1.452,1.033,0.406
0.685,0.477,1.981,1.426,1.393,1.000,0.382
0.560,0.470,2.014,1.270,1.553,1.019,0.420
0.584,0.474,2.072,1.312,1.521,1.126,0.383
0.503,0.481,2.275,1.286,1.687,0.951,0.348
0.694,0.488,1.983,1.322,1.375,0.951,0.376
0.567,0.487,2.129,1.287,1.463,1.020,0.357
0.491,0.478,2.220,1.265,1.502,0.956,0.407
0.572,0.491,2.159,1.320,1.377,1.003,0.382
0.559,0.470,2.123,1.092,1.503,0.991,0.367
0.548,0.500,2.188,1.304,1.458,0.975,0.375
0.670,0.479,2.107,1.315,1.436,1.091,0.377
0.643,0.476,1.988,1.303,1.492,1.061,0.379
0.515,0.494,2.242,1.208,1.501,1.010,0.377
0.465,0.461,2.234,1.248,1.660,0.911,0.370
0.492,0.477,2.245,1.255,1.702,1.027,0.374
0.527,0.473,2.151,1.215,1.566,1.026,0.369
0.467,0.498,2.262,1.203,1.555,0.959,0.376
0.480,0.493,2.208,1.211,1.668,0.948,0.366
0.545,0.469,1.976,1.316,1.640,0.969,0.359
0.546,0.508,2.047,1.134,1.522,1.006,0.369
0.481,0.473,2.162,1.369,1.467,0.918,0.348
0.490,0.481,2.135,1.297,1.724,1.015,0.377
0.436,0.471,2.220,1.353,1.722,0.868,0.358
0.575,0.474,2.107,1.334,1.496,0.971,0.370
0.479,0.489,2.423,1.216,1.693,1.070,0.335
0.528,0.467,2.250,1.438,1.549,0.992,0.391
0.483,0.440,2.023,1.282,1.518,1.056,0.409
0.596,0.493,1.985,1.263,1.435,1.041,0.357
0.589,0.461,2.054,1.281,1.499,0.973,0.343
0.489,0.480,2.188,1.307,1.662,0.973,0.419
0.572,0.473,2.199,1.290,1.505,1.147,0.389
0.454,0.471,2.215,1.289,1.673,0.965,0.351
0.523,0.462,2.189,1.293,1.493,0.992,0.384
0.511,0.469,2.152,1.334,1.566,1.040,0.382
0.631,0.462,1.990,1.354,1.508,1.008,0.365
0.473,0.468,2.288,1.289,1.590,0.977,0.391
0.867,0.477,1.791,1.410,1.163,1.014,0.399
0.574,0.483,2.045,1.199,1.536,0.946,0.348
0.445,0.476,2.253,1.329,1.667,0.927,0.376
0.554,0.478,2.126,1.276,1.482,1.095,0.374
0.538,0.491,2.158,1.230,1.476,1.007,0.355
0.711,0.473,1.939,1.208,1.380,0.988,0.375
0.537,0.472,2.184,1.321,1.463,1.013,0.344
0.536,0.494,2.167,1.232,1.557,1.005,0.371
0.549,0.466,2.154,1.331,1.439,1.077,0.367
0.531,0.492,2.098,1.141,1.556,0.993,0.351
0.566,0.478,2.071,1.313,1.341,1.008,0.354
0.562,0.493,2.084,1.367,1.444,0.966,0.353
0.521,0.487,2.171,1.257,1.603,1.014,0.378
0.475,0.486,2.210,1.245,1.682,0.988,0.379
0.529,0.479,2.178,1.188,1.467,0.981,0.358
0.576,0.483,2.100,1.306,1.479,1.017,0.369
0.727,0.497,1.864,1.179,1.286,0.983,0.392
0.614,0.475,2.116,1.392,1.396,1.097,0.364
0.547,0.484,2.033,1.211,1.556,0.933,0.355
0.532,0.482,2.166,1.205,1.586,0.964,0.356
0.626,0.477,2.002,1.168,1.468,0.942,0.374
0.581,0.467,2.069,1.159,1.498,1.015,0.355
0.584,0.465,2.150,1.261,1.567,1.066,0.356
0.548,0.467,2.168,1.225,1.435,1.019,0.374
0.581,0.467,2.087,1.322,1.350,0.998,0.395
0.578,0.494,2.230,1.256,1.503,1.041,0.364
